盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,33.9,15.8,22,0,0,0,2017,1.26,0,0,0
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,35.9,8.6,17,0,0,0,2016,0.42,0,0,0
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,12.2,8.72,10.2,0,0,0,2015,0.5,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,12.75,7.43,9.94,0,0,0,2014,0.5,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,13.8,5.73,8.74,0,0,0,2013,-3.93,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,7.99,5.58,6.55,0,0,0,2012,-0.5,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,8.13,4.3,6.5,0,0,0,2011,0.09,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,10.5,2.77,5.85,0,0,0,2010,-5.19,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,15.2,8.8,11.1,0,0,0,2009,0.13,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,12.7,3.41,6.67,0,0,0,2008,-1.49,0,0,0
2008,0.09,0,0.09,0.36,0,0.36,0.45,-,-,2.47,2.7,0,0.33,2008,26.9,3.15,15.8,0.57,2.27,2.84,2007,0.61,14.8,59,73.8
2007,0.05,0,0.05,0.2,0,0.2,0.25,-,-,1.97,2.7,0.02,-,2007,19.75,8,13,0.39,1.54,1.93,2006,0.5,10,40,50
2006,0.05,0,0.05,0.2,0,0.2,0.25,-,-,1.81,2.7,0.02,-,2006,9.5,6.04,8.16,0.61,2.45,3.06,2005,0.49,10.2,40.8,51
2005,0.2,0,0.2,1.8,0,1.8,2,-,-,6.12,2.56,0,-,2005,16.85,8.46,12.2,1.64,14.8,16.4,2004,2.04,9.8,88.2,98
2004,0.75,0,0.75,0.75,0,0.75,1.5,-,-,6.09,2.7,0,-,2004,28.8,14.2,19.4,3.87,3.87,7.74,2003,2.1,35.7,35.7,71.4
2003,0.35,0,0.35,0.7,0.4,1.1,1.45,-,-,3.25,2.7,0,-,2003,30.8,21,24.6,1.42,4.46,5.88,2002,1.46,24,75.3,99.3
2002,0.3,0,0.3,0.3,0,0.3,0.6,-,-,0,0,0,-,2002,31.9,9.7,18.9,1.58,1.58,3.17,2001,0.47,63.8,63.8,128
2001,0.2,0,0.2,0.2,0.3,0.5,0.7,-,-,0,0,0,-,2001,11.85,7.25,9.68,2.07,5.17,7.23,2000,1.05,19,47.6,66.7
2000,0.2,0,0.2,1,0,1,1.2,-,-,0,0,0,-,2000,17.3,6.9,11.3,1.76,8.82,10.6,1999,1.3,15.4,76.9,92.3
1999,0.6,0,0.6,0.5,0,0.5,1.1,-,-,-,-,-,-,1999,21,12.35,16.4,3.66,3.05,6.71,1998,1.35,44.4,37,81.5
1998,0,0,0,0.7,0,0.7,0.7,-,-,-,-,-,-,-,-,-,-,-,-,-,1997,0.81,0,86.4,86.4
1997,0,0,0,0.5,0,0.5,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1996,-,-,-,-
1996,0,0,0,1.33,0,1.33,1.33,-,-,-,-,-,-,-,-,-,-,-,-,-,1995,-,-,-,-
1994,0,0,0,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1993,-,-,-,-
1993,0,0,0,1.2,0,1.2,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,1992,-,-,-,-
1992,0,0,0,0.65,0,0.65,0.65,-,-,-,-,-,-,-,-,-,-,-,-,-,1991,-,-,-,-
1991,0,0,0,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1990,-,-,-,-
平均,0.1,0,0.1,0.5,0.03,0.52,0.63,,,,,,,平均,18.9,8.41,12.7,0.9,2.4,3.3,平均,0.19,11.8,31,42.8
累計,2.79,0,2.79,13.4,0.7,14.1,16.9,,,,,,,累計,,,,,,,累計,3.97,,,
