盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,4.49,2.67,3.43,0,0,0,2017,0.11,0,0,0
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,4.6,2.85,3.47,0,0,0,2016,-0.17,0,0,0
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,5.5,2.16,3.82,0,0,0,2015,-0.72,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,6.2,2.87,4.22,0,0,0,2014,-0.25,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,5.22,2.26,3.41,0,0,0,2013,-0.33,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,3.85,1.7,2.49,0,0,0,2012,-1.02,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,3.47,1.6,2.26,0,0,0,2011,-0.05,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,6.05,2.97,4.35,0,0,0,2010,-2.48,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,10.55,4.21,6.59,0,0,0,2009,-1.57,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,6.56,1.58,3.77,0,0,0,2008,-2.42,0,0,0
2008,0,0,0,0,0,0,0,-,-,0,0,0,0,2008,10.2,1.39,5.58,0,0,0,2007,-1.32,0,0,0
2007,0,0,0,0,0,0,0,-,-,0,0,0,-,2007,19.65,4.71,11.4,0,0,0,2006,-0.22,0,0,0
2006,0,0,0,0,0,0,0,-,-,0,0,0,-,2006,7,3.78,5.27,0,0,0,2005,0.28,0,0,0
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,7.78,3.52,5.32,0,0,0,2004,-0.18,0,0,0
2004,0,0,0,0,0,0,0,-,-,0,0,0,-,2004,13.35,5.65,8.71,0,0,0,2003,-1.13,0,0,0
2003,0,0,0,0,0,0,0,-,-,0.14,2.7,0,-,2003,14,7.45,9.5,0,0,0,2002,0.02,0,0,0
2002,0,0,0,0.3,0.2,0.5,0.5,-,-,0,0,0,-,2002,17.8,5.15,10.8,0,4.64,4.64,2001,0.33,0,152,152
2001,0.2,0,0.2,0.2,0.4,0.6,0.8,-,-,0,0,0,-,2001,10.9,4.44,7.09,2.82,8.46,11.3,2000,0.53,37.7,113,151
2000,0,0,0,1,1,2,2,-,-,0,0,0,-,2000,21.4,7.55,14.7,0,13.6,13.6,1999,1.54,0,130,130
1999,0,0,0,1,0,1,1,-,-,0,0,0,-,1999,25,14.5,19.8,0,5.04,5.04,1998,1.41,0,70.9,70.9
1998,0,0,0,1,1,2,2,-,-,-,-,-,-,1998,23.5,20.2,21.8,0,9.17,9.17,1997,-,-,-,-
1997,0,0,0,2.5,0,2.5,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1996,-,-,-,-
1996,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1995,-,-,-,-
1995,1,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1994,-,-,-,-
1994,0.5,0,0.5,1.4,0.6,2,2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1993,-,-,-,-
1993,0,0,0,1,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1992,-,-,-,-
1990,0,0,0,2,2,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,1989,-,-,-,-
平均,0.06,0,0.06,0.39,0.19,0.58,0.64,,,,,,,平均,10.8,4.91,7.51,0.1,1.9,2.1,平均,-0.38,1.9,23.3,25.2
累計,1.7,0,1.7,10.4,5.2,15.6,17.3,,,,,,,累計,,,,,,,累計,-7.64,,,
