盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.2,0,0.2,0,0,0,0.2,0.34,0,-,-,-,-,2018,22.55,15.75,17.7,1.13,0,1.13,2017,1.58,12.7,0,12.7
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,18.6,13.3,14.7,0,0,0,2016,1.09,0,0,0
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,15.65,12.95,14.2,0,0,0,2015,0.97,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,21.75,13.45,16.9,0,0,0,2014,1.33,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,29.7,18.95,23.1,0,0,0,2013,1.08,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,27.5,19.5,21.8,0,0,0,2012,0.54,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,25,14.45,18.7,0,0,0,2011,0.06,0,0,0
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,38,13.2,25.2,0,0,0,2010,-0.08,0,0,0
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,39.8,26.05,31.1,0,0,0,2009,-0.81,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,48.3,20.1,32.6,0,0,0,2008,1.41,0,0,0
2008,0,0,0,0,0,0,0,-,-,0,0,0,0,2008,56.5,17.35,34.8,0,0,0,2007,-1.8,0,0,0
2007,0,0,0,0,0,0,0,-,-,-,-,-,-,2007,26.5,17.3,20.4,0,0,0,2006,0.12,0,0,0
2006,0.3,0,0.3,0.5,0,0.5,0.8,-,-,0.87,0.69,0.03,-,2006,26.7,13.3,16.5,1.82,3.04,4.86,2005,1.2,25,41.7,66.7
2005,0,0,0,1,0,1,1,-,-,0.99,0.56,0.03,-,2005,24.1,15,20.1,0,4.99,4.99,2004,1.87,0,53.5,53.5
2004,1,0,1,0,0,0,1,-,-,0.99,0.79,0.03,-,2004,29.2,16.2,23.8,4.2,0,4.2,2003,1.32,75.8,0,75.8
2003,1,0,1,0,0,0,1,-,-,0.99,0.47,0.03,-,2003,20,15,16.9,5.92,0,5.92,2002,2.21,45.2,0,45.2
2002,2,0,2,0,0,0,2,-,-,0,0,0,-,2002,23.3,12.75,18.1,11.1,0,11.1,2001,2.27,88.1,0,88.1
2001,1.5,0,1.5,1.5,0,1.5,3,-,-,0,0,0,-,2001,48.5,13.95,26.1,5.74,5.74,11.5,2000,3.4,44.1,44.1,88.2
2000,0,0,0,2,0,2,2,-,-,0,0,0,-,2000,76.5,34.5,53.1,0,3.77,3.77,1999,2.59,0,77.2,77.2
1999,0,0,0,1.5,0,1.5,1.5,-,-,0,0,0,-,1999,35.6,28.7,32.1,0,4.67,4.67,1998,2.01,0,74.6,74.6
1998,0,0,0,0,0,0,0,-,-,0,0,0,-,-,-,-,-,-,-,-,1997,1.08,0,0,0
1997,0,0,0,0,0,0,0,-,-,0,-,0,-,-,-,-,-,-,-,-,1996,-,-,-,-
平均,0.27,0,0.27,0.3,0,0.3,0.57,,,,,,,平均,32.7,17.6,23.9,1.5,1.1,2.6,平均,1.12,13.9,13.9,27.7
累計,6,0,6,6.5,0,6.5,12.5,,,,,,,累計,,,,,,,累計,23.4,,,
