盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.01,0,0.01,0.01,0,0.01,0.02,0.01,0.1,-,-,-,-,2018,20.8,13.25,18.2,0.06,0.05,0.11,2017,1.7,0.6,0.6,1.2
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,24.5,12.45,16.8,0,0,0,2016,-1.09,0,0,0
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,14.6,7.01,11.2,0,0,0,2015,-4.86,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,29.9,8,21.7,0,0,0,2014,-1.55,0,0,0
2014,0,0.32,0.32,0,0,0,0.32,0.31,0,0,0,0,0,2014,20.15,10.5,15.4,2.08,0,2.08,2013,-1.57,-20.4,0,-20.4
2013,0,0.6,0.6,0,0,0,0.6,0.6,0,0,0,0,0,2013,12.8,10,11.2,5.34,0,5.34,2012,-0.58,-103,0,-103
2012,0,0.4,0.4,0,0,0,0.4,0,0,0,0,0,0,2012,15.3,10,12.2,3.29,0,3.29,2011,0.08,500,0,500
2011,0.42,0,0.42,0,0,0,0.42,0.42,0,0.54,0.9,0.05,0,2011,29.2,12,19.2,2.17,0,2.17,2010,0.57,73,0,73
2010,1.2,0,1.2,0,0,0,1.2,1.27,0,0.9,0.9,0.09,0,2010,27.4,16.4,19.8,6.05,0,6.05,2009,0.95,126,0,126
2009,1,0,1,0,0,0,1,1.06,0,1.48,0.82,0.15,0,2009,24.8,11.35,15.9,6.28,0,6.28,2008,1.62,61.7,0,61.7
2008,2,0,2,0.3,0,0.3,2.3,-,-,2.85,0.91,0.1,1.8,2008,33.2,11.05,21.1,9.49,1.42,10.9,2007,3.08,64.9,9.7,74.7
2007,2.5,0,2.5,1,0,1,3.5,-,-,-,-,-,-,2007,56.5,28.1,43.3,5.77,2.31,8.08,2006,4.36,57.3,22.9,80.3
2006,2.5,0,2.5,2,0,2,4.5,-,-,3.7,0.85,0.08,-,2006,57,34,45,5.56,4.45,10,2005,5.87,42.6,34.1,76.7
2005,2.49,0,2.49,1.99,0,1.99,4.49,-,-,3.3,0.91,0.07,-,2005,64.6,46.6,54.1,4.61,3.69,8.29,2004,6.05,41.2,33,74.1
2004,1.75,0,1.75,3.24,0,3.24,4.99,-,-,2.4,0.85,0,-,2004,97,48,67.5,2.58,4.8,7.38,2003,6.49,26.9,49.9,76.8
2003,0.5,0,0.5,3,0,3,3.5,-,-,1.3,0.83,0,-,2003,134.5,52.5,80.3,0.62,3.74,4.36,2002,4.85,10.3,61.9,72.2
2002,0,0,0,3,0,3,3,-,-,0,0,0,-,2002,82,42.8,63.2,0,4.75,4.75,2001,3.58,0,83.8,83.8
2001,0,0,0,2.4,0,2.4,2.4,-,-,0,0,0,-,2001,40,37.4,38.7,0,6.2,6.2,2000,2.82,0,85.1,85.1
2000,0,0,0,1.4,0,1.4,1.4,-,-,0,0,0,-,-,-,-,-,-,-,-,1999,1.59,0,88.1,88.1
1999,0,0,0,2.5,0.5,3,3,-,-,0,-,0,-,-,-,-,-,-,-,-,1998,-,-,-,-
平均,0.72,0.07,0.78,1.04,0.02,1.07,1.85,,,,,,,平均,43.6,22.9,31.9,3,1.7,4.7,平均,1.79,46.4,24.7,71.1
累計,14.4,1.32,15.7,20.8,0.5,21.3,37,,,,,,,累計,,,,,,,累計,34,,,
