盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.8,1,1.8,0,0,0,1.8,2.8,0,-,-,-,-,2018,67.2,47,53.7,3.35,0,3.35,2017,3.2,56.3,0,56.3
2017,1.05,0.45,1.5,0,0,0,1.5,2.33,0,-,-,-,-,2017,85.3,38,54.8,2.74,0,2.74,2016,2.49,60.2,0,60.2
2016,1,0,1,0,0,0,1,1.56,0,-,-,-,-,2016,46,31.9,37,2.7,0,2.7,2015,2.45,40.8,0,40.8
2015,0.99,0,0.99,0,0,0,0.99,1.54,0,5.2,1.34,0.15,0,2015,46.5,24.5,37.2,2.66,0,2.66,2014,2.59,38.2,0,38.2
2014,0.99,0,0.99,0,0,0,0.99,1.51,0,5.2,1.67,0.12,0,2014,60.2,31.7,42.6,2.33,0,2.33,2013,2.24,44.4,0,44.4
2013,0.7,0,0.7,0,0,0,0.7,0.97,0,5.2,1.46,0.1,0,2013,36.8,19.9,24.6,2.84,0,2.84,2012,2.57,27.2,0,27.2
2012,0.5,0,0.5,0,0,0,0.5,0.69,0,3.84,1.72,0.11,0,2012,28.2,19.8,24.1,2.07,0,2.07,2011,1.6,31.2,0,31.2
2011,0.2,0,0.2,0.8,0,0.8,1,0.26,10.4,4.48,1.44,0.15,0,2011,35.15,16.75,25.3,0.79,3.17,3.96,2010,2.41,8.3,33.2,41.5
2010,0.2,0,0.2,0.8,0,0.8,1,0.24,9.58,3.35,1.91,0.09,0,2010,41.25,25.5,32.3,0.62,2.48,3.09,2009,1.47,13.6,54.4,68
2009,0.1,0,0.1,0.3,0,0.3,0.4,0.12,3.48,1.48,1.49,0.04,0,2009,31.5,10.5,17,0.59,1.77,2.36,2008,0.87,11.5,34.5,46
2008,1.46,0,1.46,0,0,0,1.46,-,-,3.02,1.35,0.08,0,2008,26.85,10.55,19.6,7.45,0,7.45,2007,1.98,73.7,0,73.7
2007,1.49,0,1.49,0.5,0,0.5,1.99,-,-,3.4,1.18,0.05,-,2007,46.6,23.1,35.4,4.22,1.41,5.62,2006,2.95,50.7,16.9,67.5
2006,0.3,0,0.3,0.7,0,0.7,1,-,-,1.43,1.01,0.02,-,2006,47.4,16.9,24.1,1.25,2.91,4.16,2005,1.58,19,44.4,63.4
2005,1,0,1,1,0,1,2,-,-,2.58,1.11,0.03,-,2005,29.95,15.9,22.9,4.37,4.37,8.74,2004,2.91,34.4,34.4,68.7
2004,1.2,0,1.2,1,0,1,2.2,-,-,2.53,1.14,0.02,-,2004,39.9,26.4,30.9,3.89,3.24,7.13,2003,3.06,39.3,32.7,72
2003,1.2,0,1.2,1,0,1,2.2,-,-,2.28,1.28,0.02,-,2003,46.1,29,36.5,3.29,2.74,6.03,2002,2.73,44,36.7,80.7
2002,1,0,1,1.2,0,1.2,2.2,-,-,0,0,0,-,2002,48,30.5,37.9,2.64,3.16,5.8,2001,2.54,39.4,47.2,86.6
2001,1,0,1,1.2,0,1.2,2.2,-,-,0,0,0,-,-,-,-,-,-,-,-,2000,2.7,37,44.4,81.5
2000,1,0,1,1.5,0,1.5,2.5,-,-,0,-,0,-,-,-,-,-,-,-,-,1999,-,-,-,-
1999,0,0,0,10,2.5,12.5,12.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1998,-,-,-,-
平均,0.81,0.07,0.88,1,0.12,1.13,2.01,,,,,,,平均,44.9,24.6,32.7,2.8,1.5,4.3,平均,2.35,37.2,21,58.2
累計,16.2,1.45,17.6,20,2.5,22.5,40.1,,,,,,,累計,,,,,,,累計,42.3,,,
