盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,1.4,0.1,1.5,0,0,0,1.5,3.26,0,-,-,-,-,2018,66.1,46.6,56.8,2.64,0,2.64,2017,1.79,83.8,0,83.8
2017,1.8,0,1.8,0,0,0,1.8,3.93,0,-,-,-,-,2017,77.4,59.3,66.6,2.71,0,2.71,2016,2,90.2,0,90.2
2016,2.4,0,2.4,0,0,0,2.4,5.22,0,-,-,-,-,2016,81.9,51.3,65,3.69,0,3.69,2015,3.03,79.2,0,79.2
2015,1.9,0,1.9,0.9,0,0.9,2.8,3.5,16.6,6.36,1.08,0.95,0,2015,123.5,65.4,87.4,2.18,1.03,3.21,2014,3.21,59.2,28.1,87.3
2014,1.5,0,1.5,0.7,0,0.7,2.2,2.57,12,4.23,1.02,0.63,0,2014,87.2,46.6,66.7,2.25,1.05,3.3,2013,2.43,61.8,28.8,90.6
2013,1,0,1,0,0,0,1,1.71,0,2.12,1.09,0.32,0,2013,58,31.35,42.5,2.36,0,2.36,2012,1.23,81.4,0,81.4
2012,1,0,1,1.5,0,1.5,2.5,1.37,20.6,3.75,0.9,0.56,0,2012,45,28.2,35.3,2.83,4.25,7.08,2011,3.03,33,49.5,82.5
2011,2.5,0,2.5,1.5,0,1.5,4,2.98,17.9,5.45,0.91,0.82,0,2011,63.6,28.4,47.3,5.29,3.17,8.46,2010,5.05,49.5,29.7,79.2
2010,1.2,0,1.2,0,0,0,1.2,1.42,0,1.5,0.91,0.22,0,2010,61.7,24,43.5,2.75,0,2.75,2009,1.4,85.6,0,85.6
2009,1,0,1,0.5,0,0.5,1.5,1.12,5.6,2,0.83,0.29,0,2009,30.05,16.1,21,4.76,2.38,7.14,2008,2.12,47.1,23.6,70.7
2008,2,0,2,0.8,0,0.8,2.8,-,-,3,0.77,0.15,2,2008,41.9,15.5,29.8,6.7,2.68,9.38,2007,3.74,53.4,21.4,74.8
2007,1.95,0,1.95,0.44,0,0.44,2.39,-,-,1.2,0.41,0.11,-,2007,58,29.3,41.8,4.67,1.05,5.72,2006,3.13,62.4,14,76.3
2006,0.99,0,0.99,2.02,0,2.02,3.01,-,-,1.2,0.44,0.1,-,2006,43.9,29.4,35.1,2.82,5.75,8.57,2005,3.78,26.2,53.4,79.6
2005,1.12,0,1.12,1.12,0,1.12,2.24,-,-,0.8,0.41,0.08,-,2005,36.85,24.3,28.3,3.97,3.97,7.93,2004,3.06,36.7,36.7,73.3
2004,0.5,0,0.5,2.06,0.43,2.48,2.98,-,-,0.72,0.46,0,-,2004,56.5,23,38.3,1.3,6.49,7.79,2003,3.33,14.9,74.6,89.5
2003,0.48,0,0.48,1.63,0.29,1.92,2.4,-,-,0.5,0.47,0,-,2003,53,34.1,41.7,1.15,4.6,5.75,2002,2.87,16.7,66.9,83.6
2002,0,0,0,1.98,0.52,2.5,2.5,-,-,0,0,0,-,2002,73,35,48,0,5.21,5.21,2001,2.61,0,95.8,95.8
2001,0,0,0,2.1,0,2.1,2.1,-,-,0,0,0,-,-,-,-,-,-,-,-,2000,3.01,0,69.8,69.8
2000,0,0,0,2.9,0,2.9,2.9,-,-,-,-,-,-,-,-,-,-,-,-,-,1999,-,-,-,-
1999,0,0,0,4.6,0,4.6,4.6,-,-,-,-,-,-,-,-,-,-,-,-,-,1998,-,-,-,-
平均,1.14,0.01,1.14,1.24,0.06,1.3,2.44,,,,,,,平均,62.2,34.6,46.8,3.1,2.4,5.5,平均,2.82,49,32.9,81.8
累計,22.7,0.1,22.8,24.7,1.23,26,48.8,,,,,,,累計,,,,,,,累計,50.8,,,
