盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,10.3,7.85,8.57,0,0,0,2017,-0.21,0,0,0
2017,0.35,0.15,0.5,0,0,0,0.5,0.85,0,-,-,-,-,2017,11.55,8.46,10.1,4.94,0,4.94,2016,0.58,86.2,0,86.2
2016,0.2,0.3,0.5,0,0,0,0.5,0.85,0,-,-,-,-,2016,11.55,7.87,9.45,5.29,0,5.29,2015,0.09,556,0,556
2015,0.5,0,0.5,0,0,0,0.5,0.85,0,0.91,4.88,0.05,0,2015,13.35,6.55,10.4,4.79,0,4.79,2014,0.11,454,0,454
2014,0.5,0,0.5,0,0,0,0.5,0.86,0,0.91,0.74,0.05,0,2014,17.8,10.2,13.4,3.73,0,3.73,2013,0.73,68.5,0,68.5
2013,1.74,0,1.74,0,0,0,1.74,2.99,0,3.18,0.89,0.15,0,2013,21.6,14.1,17,10.3,0,10.3,2012,2.45,71.1,0,71.1
2012,0.5,0,0.5,0,0,0,0.5,0.73,0,0.78,1.27,0.04,0,2012,16.6,9.8,13.1,3.83,0,3.83,2011,0.42,119,0,119
2011,1.22,0,1.22,0,0,0,1.22,1.81,0,1.92,0.73,0.1,0,2011,21.35,9.35,14.1,8.67,0,8.67,2010,2.01,60.8,0,60.8
2010,1.8,0,1.8,0,0.5,0.5,2.3,2.25,0,2.39,0.84,0.12,0,2010,30.8,19.6,25,7.2,2,9.2,2009,2.53,71.1,19.8,90.9
2009,0.78,0,0.78,0,0.3,0.3,1.08,0.85,0,1.78,1.78,0.03,0,2009,30.8,7.12,16.5,4.73,1.79,6.53,2008,0.92,84.8,32.1,117
2008,0.65,0,0.65,0.05,0.31,0.36,1,-,-,1.54,1.84,0,0.23,2008,17.2,5.29,10.7,6.04,3.31,9.35,2007,0.86,75.4,41.4,117
2007,1.39,0,1.39,0,0,0,1.39,-,-,2.7,1.98,0.04,-,2007,32.2,11.75,24.1,5.78,0,5.78,2006,1.49,93.4,0,93.4
2006,0,0,0,0.15,0.25,0.4,0.4,-,-,0.3,0.54,0,-,2006,24.1,11,16.1,0,2.47,2.47,2005,0.62,0,64.4,64.4
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,15.2,6.61,8.47,0,0,0,2004,-1.04,0,0,0
2004,0.3,0,0.3,0.2,0,0.2,0.5,-,-,1.14,1.61,0.02,-,2004,15.7,6.4,10.2,2.93,1.95,4.88,2003,0.79,38,25.3,63.3
2003,1,0,1,1,0,1,2,-,-,3.74,1.8,0.06,-,2003,25.8,12.2,17.4,5.74,5.74,11.5,2002,2.57,38.9,38.9,77.8
2002,0.5,0,0.5,1.5,0,1.5,2,-,-,0,0,0,-,2002,30.3,22.4,24.9,2.01,6.04,8.05,2001,2.36,21.2,63.6,84.7
2001,0.5,0,0.5,1.5,0,1.5,2,-,-,0,0,0,-,-,-,-,-,-,-,-,2000,2.19,22.8,68.5,91.3
2000,0,0,0,2.51,0,2.51,2.51,-,-,-,-,-,-,-,-,-,-,-,-,-,1999,-,-,-,-
平均,0.63,0.02,0.65,0.36,0.07,0.43,1.09,,,,,,,平均,20.4,10.4,14.7,4.5,1.4,5.8,平均,1.08,103,19.7,123
累計,11.9,0.45,12.4,6.91,1.35,8.26,20.6,,,,,,,累計,,,,,,,累計,19.5,,,
