盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,2.46,0,2.46,0,0,0,2.46,14.8,0,-,-,-,-,2018,65.9,62.3,64.6,3.81,0,3.81,2017,-,-,-,-
2017,1.71,0,1.71,0,0,0,1.71,10.2,0,-,-,-,-,2017,64,61.6,62.9,2.72,0,2.72,2016,-,-,-,-
2016,-,-,-,-,-,-,-,-,-,-,-,-,-,2016,62.2,57.2,60.7,-,-,-,-,-,-,-,-
平均,1.39,0,1.39,0,0,0,1.39,,,,,,,平均,64,60.4,62.7,3.3,0,3.3,平均,,,,
累計,4.17,0,4.17,0,0,0,4.17,,,,,,,累計,,,,,,,累計,,,,
