盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.06,0.06,0.12,0,0,0,0.12,0.06,0,-,-,-,-,2018,12,8.82,9.77,1.23,0,1.23,2017,0.18,66.7,0,66.7
2017,0.1,0,0.1,0.02,0.08,0.1,0.2,0.09,0.92,-,-,-,-,2017,12.35,6.66,9.03,1.11,1.11,2.22,2016,0.54,18.5,18.5,37
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,7.65,5,5.79,0,0,0,2015,-0.72,0,0,0
2015,0.1,0,0.1,0.15,0,0.15,0.25,0.09,1.38,0.26,0.9,0,0.26,2015,10.85,4.72,7.68,1.32,1.98,3.3,2014,0.34,29.8,44.8,74.6
2014,0.1,0,0.1,0.1,0,0.1,0.2,0.09,0.92,0.21,0.9,0,0.15,2014,15.6,8.62,11.4,0.89,0.89,1.79,2013,0.33,30.7,30.7,61.5
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,14,4.43,6.56,0,0,0,2012,-1.85,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,11.2,4.18,7.32,0,0,0,2011,-1.05,0,0,0
2011,0,0,0,0.2,0.2,0.4,0.4,0,1.75,0.6,2.7,0,0.18,2011,18.25,7.17,12.1,0,3.3,3.3,2010,0.26,0,154,154
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,19.6,13.05,15.9,0,0,0,2009,-0.21,0,0,0
2009,0,0,0,0.37,0,0.37,0.37,0,2.71,0.62,1.49,0,0.28,2009,19.5,7.55,12.4,0,2.97,2.97,2008,0.57,0,64.6,64.6
2008,0.25,0,0.25,0.45,0,0.45,0.7,-,-,1.34,1.78,0,0.6,2008,17.1,6.9,11.7,2.14,3.85,5.98,2007,1.14,21.9,39.4,61.3
2007,0.16,0,0.16,0.44,0,0.44,0.6,-,-,1.2,2.45,0,-,2007,25.7,13.8,17.9,0.89,2.44,3.33,2006,0.87,18.3,50.4,68.7
2006,0,0,0,0.49,0,0.49,0.49,-,-,0.95,4.07,0,-,2006,17.85,9.2,12,0,4.06,4.06,2005,0.56,0,87.3,87.3
2005,0,0,0,0,0.2,0.2,0.2,-,-,0,0,0,-,2005,13.7,7.1,8.76,0,2.28,2.28,2004,0.11,0,182,182
2004,0,0,0,0.28,0.19,0.47,0.47,-,-,0.37,2.32,0,-,2004,18.4,8.85,11.9,0,3.9,3.9,2003,0.44,0,106,106
2003,0.3,0,0.3,1,0,1,1.3,-,-,1.36,2.7,0,-,2003,27.9,11.6,15.8,1.9,6.33,8.23,2002,1.55,19.4,64.5,83.9
2002,0,0,0,1.5,0.5,2,2,-,-,0,0,0,-,-,-,-,-,-,-,-,2001,1.93,0,104,104
2001,0,0,0,0.5,1,1.5,1.5,-,-,0,0,0,-,-,-,-,-,-,-,-,2000,0.81,0,185,185
2000,0,0,0,0.7,0,0.7,0.7,-,-,0,-,0,-,-,-,-,-,-,-,-,1999,-,-,-,-
平均,0.06,0,0.06,0.33,0.11,0.44,0.5,,,,,,,平均,16.4,7.98,11,0.6,2.1,2.7,平均,0.32,11.4,62.8,74.2
累計,1.07,0.06,1.13,6.2,2.17,8.36,9.49,,,,,,,累計,,,,,,,累計,5.8,,,
