盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,2.1,0.4,2.5,0,0,0,2.5,4.03,0,-,-,-,-,2018,39.2,32.1,36.2,6.92,0,6.92,2017,2.47,101,0,101
2017,2.25,0.68,2.93,0,0,0,2.93,4.74,0,-,-,-,-,2017,39.35,28.85,34.6,8.48,0,8.48,2016,2.38,123,0,123
2016,2,0,2,0,0,0,2,3.09,0,-,-,-,-,2016,34.4,24.1,28.9,6.93,0,6.93,2015,2.2,90.9,0,90.9
2015,2,0,2,0,0,0,2,3.16,0,3.18,0.86,0.53,0,2015,41.7,18.3,32,6.24,0,6.24,2014,2.4,83.4,0,83.4
2014,1.19,0,1.19,0,0,0,1.19,1.85,0,2.07,0.94,0.31,0,2014,42.95,25.2,34.4,3.46,0,3.46,2013,1.22,97.7,0,97.7
2013,0.5,0.7,1.2,0,0,0,1.2,2.47,0,1.88,0.87,0.3,0,2013,28.6,20.5,24.5,4.92,0,4.92,2012,1.06,114,0,114
2012,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,35.5,20.3,25.7,0,0,0,2011,-11.22,0,0,0
2011,1.5,0,1.5,0,0,0,1.5,3.04,0,2.72,0.89,0.69,0,2011,62.6,21,40.8,3.67,0,3.67,2010,1.51,99.3,0,99.3
2010,2,0,2,0,0,0,2,4.04,0,4.42,0.9,1.1,0,2010,72.8,45.1,57.1,3.5,0,3.5,2009,2.44,82,0,82
2009,1,0,1,0,0,0,1,2.01,0,3.68,0.9,0.93,0,2009,76,38.5,60,1.67,0,1.67,2008,3.38,29.6,0,29.6
2008,2.99,0,2.99,0.3,0,0.3,3.29,-,-,4.91,0.9,0.25,2.5,2008,130.5,31.6,76.5,3.91,0.39,4.3,2007,4.82,62,6.2,68.2
2007,2,0,2,0,0,0,2,-,-,2.3,0.91,0.4,-,2007,188,37.2,88.2,2.27,0,2.27,2006,2.29,87.3,0,87.3
2006,1.69,0,1.69,0,0,0,1.69,-,-,2.19,0.91,0.34,-,2006,40,19.2,27.8,6.07,0,6.07,2005,2.36,71.5,0,71.5
2005,0.5,0,0.5,0,0,0,0.5,-,-,0.31,0.72,0.09,-,2005,32.2,10.15,17.1,2.92,0,2.92,2004,0.42,119,0,119
2004,1.21,0,1.21,0,0,0,1.21,-,-,2.02,0.9,0.2,-,2004,26.2,11.65,16.7,7.24,0,7.24,2003,2.09,57.7,0,57.7
2003,0.51,0,0.51,0.61,0.41,1.02,1.54,-,-,1.31,0.89,0.09,-,2003,30,20.4,25.3,2.03,4.05,6.08,2002,1.5,34.1,68.2,102
2002,0.5,0,0.5,0.1,0.4,0.5,1,-,-,0,0,0,-,2002,31,23,26.6,1.88,1.88,3.76,2001,0.87,57.5,57.5,115
2001,1.1,0,1.1,0,0,0,1.1,-,-,0,0,0,-,-,-,-,-,-,-,-,2000,1.33,82.7,0,82.7
2000,0,0,0,2,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1999,-,-,-,-
平均,1.32,0.09,1.41,0.16,0.04,0.2,1.61,,,,,,,平均,55.9,25.1,38.4,4.2,0.4,4.6,平均,1.31,77.4,7.3,84.7
累計,25,1.79,26.8,3.01,0.81,3.82,30.6,,,,,,,累計,,,,,,,累計,23.5,,,
