盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,1.49,2.01,3.5,0,0,0,3.5,40.8,0,-,-,-,-,2018,50.3,41.25,45.6,7.68,0,7.68,2017,1.69,207,0,207
2017,4.87,0.13,5,0,0,0,5,58.3,0,-,-,-,-,2017,55,38.6,46.8,10.7,0,10.7,2016,5.57,89.8,0,89.8
2016,6,0,6,0,0,0,6,70,0,-,-,-,-,2016,54.4,28.65,45.4,13.2,0,13.2,2015,7.06,85,0,85
2015,4,0,4,3,0,3,7,35.9,269,24,0.24,0.71,0,2015,83,34.15,60.9,6.56,4.92,11.5,2014,11.44,35,26.2,61.2
2014,2,0,2,5,0,5,7,12,299,24,0.37,0.56,0,2014,74,47.5,62,3.23,8.07,11.3,2013,10.85,18.4,46.1,64.5
2013,3,0,3,0,0,0,3,17.9,0,24,0.44,0.56,0,2013,76.4,54.9,64.2,4.67,0,4.67,2012,8.13,36.9,0,36.9
2012,3,0,3,0,0,0,3,22.4,0,24,0.38,0.58,0,2012,57.5,41.05,49.5,6.06,0,6.06,2011,9.19,32.6,0,32.6
2011,6.1,0,6.1,0,0,0,6.1,42.9,0,24,0.34,0.68,0,2011,76,38.1,59.4,10.3,0,10.3,2010,10.43,58.5,0,58.5
2010,5.04,0,5.04,0,0,0,5.04,34.3,0,20,0.46,0.46,0,2010,67.9,43.7,53,9.51,0,9.51,2009,7.13,70.7,0,70.7
2009,2.3,0,2.3,0.42,0.04,0.46,2.76,14.2,28.4,10,0.54,0,1.51,2009,49.6,12.1,31.9,7.2,1.44,8.64,2008,3.25,70.7,14.1,84.8
2008,3.01,0,3.01,0.43,0.07,0.5,3.51,-,-,17.3,0.78,0,6.9,2008,59.7,11.1,31,9.71,1.62,11.3,2007,4.06,74.1,12.4,86.5
2007,0.45,0,0.45,3.76,0.23,3.99,4.44,-,-,17.3,0.9,0,-,2007,68.2,24.2,42.8,1.04,9.31,10.4,2006,5.33,8.4,74.9,83.3
2006,0.2,0,0.2,1.58,0.19,1.77,1.97,-,-,8.75,1.35,0,-,2006,55.3,23.4,37,0.53,4.8,5.33,2005,2.2,9,80.6,89.6
2005,0.1,0,0.1,0.58,0.82,1.4,1.5,-,-,3.8,1.17,0,-,2005,28.4,18.4,23.1,0.43,6.07,6.5,2004,1.27,7.9,110,118
2004,0,0,0,0,0,0,0,-,-,0,0,0,-,2004,27.7,11.6,19.3,0,0,0,2003,0.76,0,0,0
2003,0,0,0,0,0,0,0,-,-,0,0,0,-,2003,14.25,2.15,5.98,0,0,0,2002,-1.26,0,0,0
2002,0,0,0,0,0,0,0,-,-,0,0,0,-,2002,5.65,1.85,3.03,0,0,0,2001,-1.33,0,0,0
2001,0.2,0,0.2,0.24,0.26,0.5,0.7,-,-,0,0,0,-,2001,5.3,1.62,2.64,7.58,19,26.5,2000,0.74,27,67.6,94.6
2000,0,0,0,0,0,0,0,-,-,0,0,0,-,2000,15.7,2.22,7.68,0,0,0,1999,0.87,0,0,0
1999,0,0,0,1.5,0,1.5,1.5,-,-,0,0,0,-,1999,19.8,7.2,13.1,0,11.4,11.4,1998,2.06,0,72.8,72.8
1998,0,0,0,1,0.5,1.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1997,1.28,0,117,117
1997,0,0,0,1.5,0,1.5,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1996,-,-,-,-
1996,0,0,0,15.64,0,15.64,15.64,-,-,-,-,-,-,-,-,-,-,-,-,-,1995,-,-,-,-
平均,1.82,0.09,1.91,1.51,0.09,1.6,3.51,,,,,,,平均,47.2,24.2,35.2,4.9,3.3,8.2,平均,4.32,39.6,29.6,69.2
累計,41.7,2.13,43.9,34.6,2.12,36.8,80.6,,,,,,,累計,,,,,,,累計,90.7,,,
