盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.71,0,0.71,0,0,0,0.71,5.67,0,-,-,-,-,2018,28.4,24.25,25.9,2.73,0,2.73,2017,0.79,89.5,0,89.5
2017,1.14,0,1.14,0,0,0,1.14,9.17,0,-,-,-,-,2017,32.4,26.05,28.2,4.05,0,4.05,2016,1.25,91.5,0,91.5
2016,0.08,0.12,0.2,0,0,0,0.2,1.67,0,-,-,-,-,2016,34.55,24.55,28.7,0.7,0,0.7,2015,0.97,20.8,0,20.8
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,34,24.4,29.8,0,0,0,2014,0.4,0,0,0
2014,1.06,0,1.06,0,0,0,1.06,8.8,0,0,0,0,0,2014,39.3,29.8,34.7,3.04,0,3.04,2013,0.55,192,0,192
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,39.4,32.8,35.6,0,0,0,2012,0.27,0,0,0
2012,0.53,0,0.53,2.03,0.32,2.35,2.88,3.6,158,0,0,0,0,2012,50.8,32.05,42.2,1.26,5.56,6.83,2011,2.05,26.1,115,141
2011,0.52,0,0.52,0.63,0,0.63,1.15,3.39,40.6,0,0,0,0,2011,62.4,42.05,47.5,1.1,1.32,2.42,2010,0.98,53.3,64,117
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,51.5,36.3,44.2,0,0,0,2009,1.94,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,42.5,12.5,28.4,0,0,0,2008,-0.89,0,0,0
2008,0.5,0,0.5,3,0,3,3.5,-,-,0,0,0,0,2008,61,11.4,35.2,1.42,8.53,9.96,2007,3.85,13,77.9,90.9
2007,0.52,0,0.52,4.69,0,4.69,5.21,-,-,0,0,0,-,2007,68.9,32.95,52.5,0.99,8.95,9.94,2006,3.88,13.4,121,134
2006,1,0,1,4,0,4,5,-,-,0,0,0,-,2006,73.5,38,47.6,2.1,8.41,10.5,2005,5.31,18.8,75.3,94.2
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,43.5,26.6,34.1,0,0,0,2004,3.47,0,0,0
2004,0,0,0,0,0,0,0,-,-,0,0,0,-,2004,44,28.5,37.7,0,0,0,2003,1,0,0,0
2003,0,0,0,0,0,0,0,-,-,0,0,0,-,2003,28.9,11.8,19.7,0,0,0,2002,2.83,0,0,0
2002,0,0,0,0,0,0,0,-,-,0,0,0,-,2002,16.1,4.75,7.54,0,0,0,2001,-1.69,0,0,0
2001,0,0,0,0,0,0,0,-,-,0,0,0,-,2001,12.85,2.64,4.91,0,0,0,2000,-5.42,0,0,0
2000,0,0,0,0,0,0,0,-,-,0,0,0,-,2000,82,5.9,47.7,0,0,0,1999,-3.18,0,0,0
1999,0,0,0,1.5,1,2.5,2.5,-,-,0,0,0,-,1999,122,37.9,82.4,0,3.04,3.04,1998,1.82,0,137,137
1998,0,0,0,0,2,2,2,-,-,0,0,0,-,1998,172,81,128,0,1.56,1.56,1997,0.7,0,286,286
1997,0,0,0,1.8,1,2.8,2.8,-,-,0,0,0,-,1997,205,70,126,0,2.22,2.22,1996,2.88,0,97.2,97.2
1996,0,0,0,0,0.5,0.5,0.5,-,-,0,0,0,-,1996,73.5,50,61.3,0,0.82,0.82,1995,0.95,0,52.6,52.6
1995,0,0,0,0,0,0,0,-,-,0,0,0,-,1995,93,37.79,61.2,0,0,0,1994,-1.53,0,0,0
1994,0,0,0,0,0,0,0,-,-,0,0,0,-,1994,80,40.5,53,0,0,0,1993,-0.73,0,0,0
1993,0,0,0,0,0,0,0,-,-,0,0,0,-,1993,74,32.29,47.6,0,0,0,1992,-1.31,0,0,0
1992,0,0,0,0,0,0,0,-,-,0,0,0,-,1992,90,38.5,63.9,0,0,0,1991,-0.96,0,0,0
1991,0,0,0,0,0,0,0,-,-,0,0,0,-,1991,99.5,35.4,68.6,0,0,0,1990,-1.82,0,0,0
1984,0.3,0,0.3,0,0.2,0.2,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1983,-,-,-,-
平均,0.22,0,0.22,0.61,0.17,0.78,1.01,,,,,,,平均,66.3,31.1,47.3,0.6,1.4,2.1,平均,0.66,18.5,36.6,55.1
累計,6.36,0.12,6.48,17.6,5.02,22.7,29.2,,,,,,,累計,,,,,,,累計,18.4,,,
