盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.8,0,0.8,0,0,0,0.8,3.6,0,-,-,-,-,2018,35.2,16.4,23.5,3.4,0,3.4,2017,1.9,42.1,0,42.1
2017,0.6,0,0.6,0,0,0,0.6,2.7,0,-,-,-,-,2017,23.75,13.35,17.3,3.46,0,3.46,2016,2.1,28.6,0,28.6
2016,0.2,0,0.2,0,0,0,0.2,0.9,0,-,-,-,-,2016,21.65,8.61,11.6,1.72,0,1.72,2015,0.81,24.7,0,24.7
2015,0.6,0,0.6,0,0,0,0.6,2.7,0,12.7,1.8,0.23,0,2015,16.9,6.76,11.6,5.18,0,5.18,2014,1.57,38.2,0,38.2
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,14.15,10.55,12.1,0,0,0,2013,-0.56,0,0,0
2013,0.4,0,0.4,0,0,0,0.4,1.82,0,9.72,1.8,0.28,0,2013,14.9,10.7,12.8,3.17,0,3.17,2012,1.19,34,0,34
2012,0.48,0,0.48,0,0,0,0.48,2.19,0,8.75,1.8,0.28,0,2012,17.5,11.3,14.5,3.31,0,3.31,2011,1.06,45.4,0,45.4
2011,0,0,0,0.38,0,0.38,0.38,0,16.8,3.37,0.61,0.11,0,2011,21.3,10.35,15.9,0,2.39,2.39,2010,1.25,0,30.4,30.4
2010,1.2,0,1.2,1,0,1,2.2,4.81,40.1,22.5,1.8,0.56,0,2010,31.85,18.75,25.4,4.73,3.94,8.67,2009,3.16,38,31.6,69.6
2009,0.79,0,0.79,0,0,0,0.79,3.15,0,7.15,1.24,0.36,0,2009,33.3,10.05,20.9,3.79,0,3.79,2008,1.46,54.4,0,54.4
2008,0.6,0,0.6,2,0,2,2.6,-,-,19.5,1.44,0.98,0,2008,34.3,9,23,2.6,8.68,11.3,2007,4.09,14.7,48.9,63.6
2007,0.7,0,0.7,1.8,0,1.8,2.5,-,-,16,1.87,0.8,-,2007,36,23.2,28.8,2.43,6.25,8.69,2006,3.03,23.1,59.4,82.5
2006,0.7,0,0.7,2.1,0,2.1,2.8,-,-,14.8,1.95,0.74,-,2006,39,24.65,30.7,2.28,6.84,9.11,2005,3.67,19.1,57.2,76.3
2005,1.34,0,1.34,1.34,0,1.34,2.68,-,-,11,1.82,0.55,-,2005,39.7,23.2,30.2,4.43,4.43,8.87,2004,4.45,30.1,30.1,60.2
2004,0.95,0,0.95,0.95,0,0.95,1.91,-,-,4.89,1.79,0,-,2004,41.5,18.6,30.1,3.17,3.17,6.34,2003,2.55,37.4,37.4,74.8
2003,0.6,0,0.6,0.6,0,0.6,1.2,-,-,2.73,1.93,0,-,2003,41.4,12.45,20.4,2.95,2.95,5.89,2002,1.73,34.7,34.7,69.4
2002,0.6,0,0.6,0.6,0,0.6,1.2,-,-,0,0,0,-,2002,35.5,14.7,23.8,2.52,2.52,5.05,2001,2.32,25.9,25.9,51.7
2001,0.3,0,0.3,1.2,0,1.2,1.5,-,-,0,0,0,-,2001,33.7,8.35,17.8,1.69,6.74,8.43,2000,1.7,17.6,70.6,88.2
2000,0,0,0,1,0,1,1,-,-,0,0,0,-,-,-,-,-,-,-,-,1999,1.25,0,80,80
1999,0,0,0,1.5,0,1.5,1.5,-,-,0,-,0,-,-,-,-,-,-,-,-,1998,-,-,-,-
1998,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1997,-,-,-,-
平均,0.52,0,0.52,0.69,0,0.69,1.21,,,,,,,平均,29.5,13.9,20.6,2.8,2.7,5.5,平均,2.04,26.7,26.6,53.4
累計,10.9,0,10.9,14.5,0,14.5,25.3,,,,,,,累計,,,,,,,累計,38.7,,,
