盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,4.5,0,4.5,0,0,0,4.5,35.1,0,-,-,-,-,2018,97.3,80.5,89.6,5.02,0,5.02,2017,7.51,59.9,0,59.9
2017,3.28,0.72,4,0,0,0,4,31.2,0,-,-,-,-,2017,105.5,82.9,91.3,4.38,0,4.38,2016,6.2,64.5,0,64.5
2016,2.5,1,3.5,0,0,0,3.5,27.3,0,-,-,-,-,2016,92.5,62.5,75.9,4.61,0,4.61,2015,5.2,67.3,0,67.3
2015,3,0,3,0,0,0,3,23.2,0,43.7,1.35,2.19,0,2015,74.9,48.15,60.1,4.99,0,4.99,2014,4.24,70.8,0,70.8
2014,0,2,2,0,0,0,2,15.3,0,0,0,0,0,2014,57.9,40.2,50.4,3.97,0,3.97,2013,-5.24,-38.2,0,-38.2
2013,1,2,3,0,0,0,3,22.9,0,46.3,1.28,2.32,0,2013,59.6,40,50.7,5.92,0,5.92,2012,4.58,65.5,0,65.5
2012,2.05,0,2.05,0,0,0,2.05,16,0,64,1.35,3.2,0,2012,82.5,37.65,56,3.66,0,3.66,2011,5.93,34.6,0,34.6
2011,4,0,4,1,0,1,5,29.1,72.6,104,1.37,10.4,0,2011,112,60.6,86.6,4.62,1.15,5.77,2010,10.89,36.7,9.2,45.9
2010,3.5,0,3.5,0,0,0,3.5,24.6,0,72,1.45,7.2,0,2010,119,86.5,101,3.45,0,3.45,2009,7.44,47,0,47
2009,3,0,3,0.5,0,0.5,3.5,18.9,31.5,82.1,1.25,4.11,7.05,2009,110.5,44.5,76.9,3.9,0.65,4.55,2008,10.38,28.9,4.8,33.7
2008,4,0,4,1,0,1,5,-,-,83.2,1.35,3.66,18.9,2008,128,36.8,89.3,4.48,1.12,5.6,2007,11.08,36.1,9,45.1
2007,3.5,0,3.5,1.5,0,1.5,5,-,-,65.8,1.36,2.92,-,2007,170,100.5,129,2.72,1.16,3.88,2006,10.24,34.2,14.6,48.8
2006,3,0,3,1.5,0,1.5,4.5,-,-,62.2,1.77,2.07,-,2006,144.5,75.5,101,2.96,1.48,4.44,2005,8.78,34.2,17.1,51.3
2005,2.5,0,2.5,1.5,0,1.5,4,-,-,47.4,1.8,1.19,-,2005,114.5,67,92.6,2.7,1.62,4.32,2004,8.35,29.9,18,47.9
2004,1,0,1,1.5,0,1.5,2.5,-,-,18.7,1.8,0.18,-,2004,81.5,47.6,65,1.54,2.31,3.84,2003,4.05,24.7,37,61.7
2003,0,0,0,0.5,0,0.5,0.5,-,-,5.26,2.81,0,-,2003,59,13.95,37.9,0,1.32,1.32,2002,0.81,0,61.7,61.7
2002,0,0,0,0.5,0,0.5,0.5,-,-,4.66,2.7,0,-,-,-,-,-,-,-,-,2001,0.78,0,64.1,64.1
2001,0,0,0,0.5,0.5,1,1,-,-,6.25,-,0.01,-,-,-,-,-,-,-,-,2000,-,-,-,-
1999,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1998,-,-,-,-
1998,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1997,-,-,-,-
平均,2.04,0.29,2.33,0.5,0.02,0.52,2.85,,,,,,,平均,101,57.8,78.3,3.7,0.7,4.4,平均,5.95,35.1,13.9,48.9
累計,40.8,5.72,46.6,10,0.5,10.5,57.1,,,,,,,累計,,,,,,,累計,101,,,
