盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,5,0,5,0,1,1,6,5.36,10.7,-,-,-,-,2018,364,220,285,1.75,0.35,2.1,2017,10.53,47.5,9.5,57
2017,1.5,0,1.5,0,0.5,0.5,2,1.53,5.1,-,-,-,-,2017,624,59.8,199,0.75,0.25,1,2016,1.52,98.7,32.9,132
2016,1,0,1,0,0,0,1,0.79,0,-,-,-,-,2016,70,49,58.7,1.7,0,1.7,2015,2.22,45,0,45
2015,0.5,0,0.5,0.5,0.5,1,1.5,0.34,6.77,0.93,0.91,0.01,0,-,-,-,-,-,-,-,2014,1.72,29.1,58.1,87.2
2014,0.5,0,0.5,0,1,1,1.5,0.26,5.24,0.16,0.9,0,0,-,-,-,-,-,-,-,2013,0.34,147,294,441
2013,0.5,0,0.5,0,0.5,0.5,1,0.25,2.5,0.14,-,0,0,-,-,-,-,-,-,-,2012,-,-,-,-
2012,1,0,1,0,1,1,2,0.44,4.36,1.49,-,0.01,0,-,-,-,-,-,-,-,2011,-,-,-,-
2011,2,0,2,0,2,2,4,0.73,36.3,0,-,0,0,-,-,-,-,-,-,-,2010,-,-,-,-
平均,1.5,0,1.5,0.06,0.81,0.88,2.38,,,,,,,平均,353,110,181,1.4,0.2,1.6,平均,3.27,73.5,78.9,152
累計,12,0,12,0.5,6.5,7,19,,,,,,,累計,,,,,,,累計,16.3,,,
