盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.3,0,0.3,0,0,0,0.3,0.3,0,-,-,-,-,2018,41.9,34.8,37.7,0.8,0,0.8,2017,1.15,26.1,0,26.1
2017,0.2,0,0.2,0,0,0,0.2,0.2,0,-,-,-,-,2017,47.6,36.65,40.6,0.49,0,0.49,2016,0.85,23.5,0,23.5
2016,0.1,0,0.1,0.4,0,0.4,0.5,0.09,3.79,-,-,-,-,2016,58.2,33.5,43.5,0.23,0.92,1.15,2015,1.72,5.8,23.3,29.1
2015,0.5,0,0.5,0,0,0,0.5,0.47,0,4.3,1.88,0.06,0,2015,67.4,25.7,47.5,1.05,0,1.05,2014,2.41,20.7,0,20.7
2014,1.5,0,1.5,0,0,0,1.5,1.42,0,3.71,1.85,0.06,0,2014,84.9,40,57.2,2.62,0,2.62,2013,2.11,71.1,0,71.1
2013,0.3,0,0.3,0,0,0,0.3,0.28,0,1.05,1.4,0.02,0,2013,46.95,16,24.4,1.23,0,1.23,2012,0.79,38,0,38
2012,0.4,0,0.4,0,0,0,0.4,0.38,0,2.27,1.83,0.03,0,2012,22.8,15.1,17.5,2.29,0,2.29,2011,1.28,31.2,0,31.2
2011,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,33.15,13.85,22.5,0,0,0,2010,0.02,0,0,0
2010,0.5,0,0.5,0,0,0,0.5,0.48,0,0.24,1.8,0,0,2010,31.95,20.5,24.4,2.05,0,2.05,2009,0.14,357,0,357
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,32.1,8.41,18.2,0,0,0,2008,-0.44,0,0,0
2008,1,0,1,0,0,0,1,-,-,3.84,1.8,0.06,0,2008,32.3,7.6,19.8,5.04,0,5.04,2007,2.21,45.2,0,45.2
2007,1.2,0,1.2,0,0,0,1.2,-,-,5.62,1.94,0.08,-,2007,69.9,24.25,41.2,2.91,0,2.91,2006,3.02,39.7,0,39.7
2006,0.5,0,0.5,0,0,0,0.5,-,-,0.41,1.8,0.01,-,2006,43.45,16.6,27.1,1.84,0,1.84,2005,0.24,208,0,208
2005,0.6,0,0.6,0,0,0,0.6,-,-,0,0,0,-,2005,28.1,13.65,21.3,2.82,0,2.82,2004,0.23,261,0,261
2004,1,0,1,0.5,0,0.5,1.5,-,-,3.2,1.8,0.11,-,2004,44.9,16.3,28.9,3.47,1.73,5.2,2003,1.95,51.3,25.6,76.9
2003,2,0,2,0.5,0,0.5,2.5,-,-,5.83,1.8,0.2,-,2003,58,32.8,43.1,4.64,1.16,5.8,2002,3.8,52.6,13.2,65.8
2002,1.8,0,1.8,1.2,0,1.2,3,-,-,0,0,0,-,2002,69.5,45.8,54.4,3.31,2.2,5.51,2001,4.02,44.8,29.9,74.6
2001,1,0,1,1.8,0,1.8,2.8,-,-,0,0,0,-,2001,63.5,29,44.5,2.25,4.05,6.3,2000,4.31,23.2,41.8,65
2000,0,0,0,4,0,4,4,-,-,0,0,0,-,-,-,-,-,-,-,-,1999,5.8,0,69,69
1999,0,0,0,2.64,0,2.64,2.64,-,-,0,0,0,-,-,-,-,-,-,-,-,1998,3.98,0,66.3,66.3
1998,0,0,0,3,0.5,3.5,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,1997,-,-,-,-
平均,0.61,0,0.61,0.67,0.02,0.69,1.31,,,,,,,平均,48.7,23.9,34.1,2.1,0.6,2.6,平均,1.98,65,13.4,78.4
累計,12.9,0,12.9,14,0.5,14.5,27.4,,,,,,,累計,,,,,,,累計,39.6,,,
