盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,13.05,10.9,12,0,0,0,2017,0.17,0,0,0
2017,0,0,0,0,0,0,0,0,0,-,-,-,-,2017,15.8,12.3,12.8,0,0,0,2016,-0.57,0,0,0
2016,0,0,0,0,0,0,0,0,0,-,-,-,-,2016,15.6,12.15,13.3,0,0,0,2015,-0.2,0,0,0
2015,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,20.9,10.15,13.6,0,0,0,2014,-0.24,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,19,11.35,12.8,0,0,0,2013,-0.21,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,17.9,11.15,13.1,0,0,0,2012,-0.01,0,0,0
2012,0.4,0,0.4,0,0,0,0.4,0.17,0,0.25,1.8,0.01,0,2012,17.6,13.05,14.2,2.82,0,2.82,2011,0.33,121,0,121
2011,0.5,0,0.5,0,0,0,0.5,0.21,0,0.3,1.29,0.01,0,2011,18.8,12.1,16.8,2.98,0,2.98,2010,0.55,90.9,0,90.9
2010,0.6,0,0.6,0,0,0,0.6,0.25,0,0.62,1.79,0.02,0,2010,19.15,12.15,15.8,3.8,0,3.8,2009,0.81,74.1,0,74.1
2009,0,0,0,0,0,0,0,0,0,0.11,1.8,0,0,2009,23.9,8.11,14.5,0,0,0,2008,0.14,0,0,0
2008,0.5,0,0.5,0,0,0,0.5,-,-,0.39,1.8,0.02,0,2008,16.6,7.35,11.1,4.5,0,4.5,2007,0.51,98,0,98
2007,0,0,0,0,0,0,0,-,-,0.12,0.48,0,-,2007,17.85,10.6,13.7,0,0,0,2006,0.6,0,0,0
2006,0,0,0,0,0,0,0,-,-,0.24,-9.49,0,-,2006,17.7,11.1,14.1,0,0,0,2005,-0.06,0,0,0
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,21.4,7.63,9.99,0,0,0,2004,-0.69,0,0,0
2004,0,0,0,0,0,0,0,-,-,0,0,0,-,2004,15.4,7.2,9.52,0,0,0,2003,0,0,0,0
2003,0,0,0,0,0,0,0,-,-,0.05,1.8,0,-,2003,15.3,7.5,10.6,0,0,0,2002,0.06,0,0,0
2002,0,0,0,0,0,0,0,-,-,0,0,0,-,2002,13.7,6.25,9.7,0,0,0,2001,0.26,0,0,0
2001,0.5,0,0.5,0,0.5,0.5,1,-,-,0,0,0,-,2001,32.1,8.2,15.9,3.15,3.15,6.3,2000,0.84,59.5,59.5,119
2000,0,0,0,1.3,0.2,1.5,1.5,-,-,0,0,0,-,2000,47.9,16.8,27.7,0,5.42,5.42,1999,1.52,0,98.7,98.7
1999,0,0,0,0.8,0.2,1,1,-,-,0,0,0,-,1999,30.1,27,28.3,0,3.54,3.54,1998,1.2,0,83.3,83.3
1998,0,0,0,0.75,0,0.75,0.75,-,-,0,0,0,-,-,-,-,-,-,-,-,1997,1.04,0,72.1,72.1
1997,0,0,0,8.7,2.02,10.72,10.72,-,-,-,-,-,-,-,-,-,-,-,-,-,1996,-,-,-,-
平均,0.11,0,0.11,0.52,0.13,0.66,0.77,,,,,,,平均,20.5,11.2,14.5,0.9,0.6,1.5,平均,0.29,21.1,14.9,36.1
累計,2.5,0,2.5,11.6,2.92,14.5,17,,,,,,,累計,,,,,,,累計,6.05,,,
