盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,20,1,21,0,0,0,21,63,0,-,-,-,-,2018,276,240,258,8.14,0,8.14,2017,22.14,94.9,0,94.9
2017,22,0,22,0,0,0,22,66,0,-,-,-,-,2017,332,195.5,248,8.86,0,8.86,2016,15.44,142,0,142
2016,12.5,0,12.5,0,0,0,12.5,37.5,0,-,-,-,-,2016,279,191,211,5.93,0,5.93,2015,13.89,90,0,90
2015,30,0,30,0,0,0,30,90,0,0,0,0.33,0,2015,345.5,228,292,10.3,0,10.3,2014,21.75,138,0,138
2014,19.47,0,19.47,0,0,0,19.47,58.4,0,0,0,0.32,0,2014,440,271.5,355,5.49,0,5.49,2013,24.33,80,0,80
2013,13.3,0,13.3,0,0,0,13.3,39.9,0,0,0,0.3,0,2013,449,228.5,309,4.31,0,4.31,2012,16.43,80.9,0,80.9
2012,10.2,0,10.2,0,0,0,10.2,30.6,0,0,0,0.42,0,2012,277.5,123.5,223,4.58,0,4.58,2011,12.77,79.9,0,79.9
2011,5.6,0,5.6,0,0,0,5.6,16.8,0,0,0,0.65,0,2011,158,87.6,123,4.56,0,4.56,2010,9.61,58.3,0,58.3
2010,0,0,0,0,0,0,0,0,0,0,0,0.15,0,2010,171.5,56.5,101,0,0,0,2009,2.18,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0.1,0,2009,82.6,20.5,54.1,0,0,0,2008,1.68,0,0,0
2008,1.7,0,1.7,0,0,0,1.7,-,-,0,0,0.59,0,2008,59.4,19.35,38.5,4.42,0,4.42,2007,4.9,34.7,0,34.7
2007,3.1,0,3.1,0,0,0,3.1,-,-,0,0,0.55,-,2007,98.5,46.2,72.8,4.26,0,4.26,2006,6.06,51.2,0,51.2
2006,7.3,0,7.3,0,0,0,7.3,-,-,0,0,1.01,-,2006,125,88.2,110,6.65,0,6.65,2005,10.54,69.3,0,69.3
2005,6.3,0,6.3,0,0,0,6.3,-,-,15.7,0.5,0.98,-,2005,138,99.8,115,5.49,0,5.49,2004,10.51,59.9,0,59.9
2004,-,-,-,-,-,-,-,-,-,-,-,-,-,2004,103.5,85.5,98.1,-,-,-,2003,0.75,-,-,-
平均,10.1,0.07,10.2,0,0,0,10.2,,,,,,,平均,222,132,174,5.2,0,5.2,平均,11.5,70,0,70
累計,151,1,152,0,0,0,152,,,,,,,累計,,,,,,,累計,173,,,
