盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,11,0,11,0,0,0,11,7.03,0,-,-,-,-,2018,159.5,120,141,7.81,0,7.81,2017,13.64,80.6,0,80.6
2017,10,0,10,0,0,0,10,6.39,0,-,-,-,-,2017,172,125.5,143,7,0,7,2016,11.37,88,0,88
2016,7,0,7,0,0,0,7,4.97,0,-,-,-,-,2016,153.5,75.1,107,6.56,0,6.56,2015,13.57,51.6,0,51.6
2015,3.5,0,3.5,0,0,0,3.5,2.69,0,4.5,1.08,0.09,0,2015,110.5,66.2,86,4.07,0,4.07,2014,5.29,66.2,0,66.2
2014,3.1,0,3.1,0,0,0,3.1,2.46,0,4.67,1.06,0.1,0,2014,93.5,58,76.4,4.06,0,4.06,2013,5.89,52.6,0,52.6
2013,3,0,3,0.3,0,0.3,3.3,2.17,2.17,4.82,0.78,0.12,0,2013,120,72,91.8,3.27,0.33,3.59,2012,9.34,32.1,3.2,35.3
2012,0.6,0,0.6,0.29,0,0.29,0.89,0.38,1.82,1.4,7.67,0.02,0,2012,97.9,56.9,77.5,0.77,0.37,1.15,2011,0.29,207,100,307
2011,9.7,0,9.7,0.3,0,0.3,10,5.93,1.83,5.75,0.67,0.86,0,2011,173.5,55.5,110,8.84,0.27,9.12,2010,14,69.3,2.1,71.4
2010,6,0,6,0,0,0,6,3.67,0,5.4,1.25,0.43,0,2010,190,131,159,3.78,0,3.78,2009,7.06,85,0,85
2009,2,0,2,0,0,0,2,1.22,0,3.6,3.67,0.09,0,2009,172,35.2,78.5,2.55,0,2.55,2008,1.61,124,0,124
2008,6.3,0,6.3,0.3,0,0.3,6.6,-,-,6,1.1,0.45,0.95,2008,149,35.2,80.3,7.84,0.37,8.22,2007,9.43,66.8,3.2,70
2007,6.24,0,6.24,0.3,0,0.3,6.54,-,-,6,1.24,0.44,-,2007,185,122.5,152,4.1,0.2,4.3,2006,9.01,69.3,3.3,72.6
2006,6.46,0,6.46,0.72,0,0.72,7.18,-,-,8,1.69,0.33,-,2006,234,133,171,3.77,0.42,4.19,2005,10.61,60.9,6.8,67.7
2005,7.49,0,7.49,1.5,0,1.5,8.99,-,-,8,1.77,0.25,-,2005,167,91.5,111,6.77,1.35,8.12,2004,12.55,59.7,11.9,71.7
2004,4.5,0,4.5,0.5,0,0.5,5,-,-,7,2.48,0.1,-,2004,140,91,107,4.19,0.47,4.65,2003,8.48,53.1,5.9,59
2003,4,0,4,0,0.4,0.4,4.4,-,-,7,3.37,0.09,-,2003,124,93,110,3.63,0.36,4,2002,6.81,58.7,5.9,64.6
2002,2,0,2,0,0,0,2,-,-,2,2.83,0.01,-,-,-,-,-,-,-,-,2001,4.67,42.8,0,42.8
2001,4,0,4,0,0,0,4,-,-,0,-,0.01,-,-,-,-,-,-,-,-,2000,-,-,-,-
2000,0,0,0,13.75,0,13.75,13.75,-,-,-,-,-,-,-,-,-,-,-,-,-,1999,-,-,-,-
平均,5.1,0,5.1,0.95,0.02,0.97,6.07,,,,,,,平均,153,85.1,113,4.9,0.3,5.2,平均,8.45,74.6,8.4,82.9
累計,96.9,0,96.9,18,0.4,18.4,115,,,,,,,累計,,,,,,,累計,144,,,
