盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,1.82,0,1.82,0,0,0,1.82,5.75,0,-,-,-,-,2018,41.9,27.6,33.3,5.46,0,5.46,2017,4.32,42.1,0,42.1
2017,1.51,0,1.51,0,0,0,1.51,4.77,0,-,-,-,-,2017,29.45,25,26.4,5.71,0,5.71,2016,3.35,45.1,0,45.1
2016,1.57,0,1.57,0,0,0,1.57,4.96,0,-,-,-,-,2016,27.45,21.55,23.9,6.57,0,6.57,2015,3.97,39.6,0,39.6
2015,1.07,0,1.07,0,0,0,1.07,3.37,0,16.9,1.63,0.34,0,2015,25.45,18.2,23.1,4.62,0,4.62,2014,3.28,32.6,0,32.6
2014,1,0,1,0,0,0,1,3.16,0,16.9,1.74,0.34,0,2014,26.1,21.5,24.2,4.13,0,4.13,2013,3.08,32.5,0,32.5
2013,1.2,0,1.2,0,0,0,1.2,3.79,0,13,1.72,0.21,0,2013,24.2,19.9,22.1,5.44,0,5.44,2012,2.4,50,0,50
2012,1.47,0,1.47,0,0,0,1.47,4.65,0,5.6,0.99,0.06,0,2012,21.35,14.85,18.9,7.77,0,7.77,2011,1.8,81.7,0,81.7
2011,1.5,0,1.5,0,0,0,1.5,0,0,60.6,4,0.36,0,2011,30.2,13.95,21.1,7.11,0,7.11,2010,4.79,31.3,0,31.3
2010,2.98,0,2.98,0,0,0,2.98,9.42,0,47.2,5.98,0.28,0,2010,31.6,17.6,26.1,11.4,0,11.4,2009,2.5,119,0,119
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,18.55,8.3,12.9,0,0,0,2008,1.23,0,0,0
2008,1,0,1,0.41,0.09,0.5,1.5,-,-,12.7,2.63,0,0,2008,19.9,7.17,14.9,6.72,3.36,10.1,2007,1.6,62.5,31.3,93.8
2007,0.4,0,0.4,1,0.1,1.1,1.5,-,-,11.6,2.64,0,-,2007,23.8,15.9,18.8,2.13,5.85,7.98,2006,1.62,24.7,67.9,92.6
2006,0.7,0,0.7,0.6,0.2,0.8,1.5,-,-,9.25,2.48,0,-,2006,18.4,12.3,14.9,4.69,5.36,10.1,2005,1.49,47,53.7,101
2005,0.5,0,0.5,0.9,0.1,1,1.5,-,-,9.69,2.65,0,-,2005,19.3,12,15.3,3.27,6.54,9.82,2004,1.6,31.3,62.5,93.8
2004,0.25,0,0.25,0.63,0.12,0.75,1,-,-,3.24,1.33,0,-,2004,28.9,12.95,18.7,1.34,4.01,5.34,2003,1.15,21.7,65.2,87
2003,0,0,0,0,0,0,0,-,-,0,0,0,-,2003,16.7,7.1,10.4,0,0,0,2002,-0.32,0,0,0
2002,0.5,0,0.5,0.5,0,0.5,1,-,-,0,0,0,-,2002,12.5,6.35,8.98,5.57,5.57,11.1,2001,1.07,46.7,46.7,93.5
2001,0.77,0,0.77,0.4,0.83,1.23,2,-,-,0,0,0,-,2001,15.4,7.4,10.9,7.06,11.3,18.3,2000,0.94,81.9,131,213
2000,0,0,0,1,1,2,2,-,-,-,-,-,-,2000,26.9,8.4,14.5,0,13.8,13.8,1999,1.68,0,119,119
1999,0,0,0,0.48,1.06,1.54,1.54,-,-,-,-,-,-,-,-,-,-,-,-,-,1998,1.19,0,129,129
1998,0,0,0,0,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1997,-,-,-,-
平均,0.87,0,0.87,0.28,0.21,0.5,1.36,,,,,,,平均,24.1,14.6,18.9,4.7,2.9,7.6,平均,2.14,39.5,35.3,74.8
累計,18.2,0,18.2,5.92,4.5,10.4,28.7,,,,,,,累計,,,,,,,累計,42.7,,,
