盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.5,0,0.5,0,0,0,0.5,2.52,0,-,-,-,-,2018,24.25,18.45,21.3,2.34,0,2.34,2017,0.7,71.4,0,71.4
2017,1.1,0,1.1,0,0,0,1.1,5.54,0,-,-,-,-,2017,24.3,17.2,19.5,5.64,0,5.64,2016,1.49,73.8,0,73.8
2016,1,0,1,0,0,0,1,5.04,0,-,-,-,-,2016,21.45,13.2,16.3,6.15,0,6.15,2015,1.16,86.2,0,86.2
2015,2,0,2,0,0,0,2,10.1,0,51.7,1.8,0.03,0,2015,32.2,12.85,21.7,9.2,0,9.2,2014,5.82,34.4,0,34.4
2014,1,0,1,0,0,0,1,5.04,0,21.5,1.8,0.01,0,2014,37.2,21.9,29.5,3.39,0,3.39,2013,2.42,41.3,0,41.3
2013,0.99,0,0.99,0,0,0,0.99,4.99,0,18.5,1.8,0.01,0,2013,50,21.2,34.5,2.87,0,2.87,2012,2.11,46.9,0,46.9
2012,0.99,0,0.99,0,0,0,0.99,4.93,0,17.7,1.8,0.01,0,2012,22.3,13.9,18.8,5.26,0,5.26,2011,2.02,49,0,49
2011,1,0,1,0,0,0,1,4.93,0,30.3,1.8,0.02,0,2011,34.25,11.75,22.5,4.43,0,4.43,2010,3.51,28.4,0,28.4
2010,1,0,1,0,0,0,1,4.89,0,21.7,1.85,0.11,0,2010,35,20.3,26.1,3.84,0,3.84,2009,2.46,40.7,0,40.7
2009,0.5,0,0.5,0,0,0,0.5,2.45,0,7.38,1.88,0.04,0,2009,29.75,6.38,17.9,2.8,0,2.8,2008,0.82,61,0,61
2008,0.5,0,0.5,0,0,0,0.5,-,-,7.73,2.41,0.05,0,2008,28.75,5.21,14.4,3.48,0,3.48,2007,0.66,75.8,0,75.8
2007,0.5,0,0.5,0,0,0,0.5,-,-,7.73,4.99,0.05,-,2007,18.6,9.8,14.7,3.4,0,3.4,2006,0.32,156,0,156
2006,0,0,0,0,0,0,0,-,-,0,0,0,-,2006,19.3,6.3,10.1,0,0,0,2005,0.18,0,0,0
2005,0,0,0,0,0,0,0,-,-,0,0,0,-,2005,11.7,6.5,8.79,0,0,0,2004,0,0,0,0
2004,0,0,0,0,0,0,0,-,-,0,0,0,-,2004,17.3,8.4,11.7,0,0,0,2003,-0.31,0,0,0
2003,0,0,0,0,0,0,0,-,-,0,0,0,-,2003,13.2,4.05,7.98,0,0,0,2002,-0.03,0,0,0
2002,0.3,0,0.3,0,0,0,0.3,-,-,0,0,0,-,2002,12.15,3.8,6.36,4.72,0,4.72,2001,0.45,66.7,0,66.7
2001,2,0,2,0,0,0,2,-,-,0,0,0,-,2001,13,3.63,6.71,29.8,0,29.8,2000,1.05,190,0,190
2000,0.5,0,0.5,1,1,2,2.5,-,-,0,0,0,-,2000,25.9,5.6,15.3,3.27,13.1,16.4,1999,1.55,32.3,129,161
1999,0,0,0,1.2,1.3,2.5,2.5,-,-,-,-,-,-,1999,34.29,14.3,23.1,0,10.8,10.8,1998,2.41,0,104,104
1998,0,0,0,1.3,1.2,2.5,2.5,-,-,0,0,0,-,1998,73.5,27.8,47,0,5.32,5.32,1997,0.02,0,12500,12500
1997,0,0,0,1.4,1.1,2.5,2.5,-,-,-,-,-,-,1997,89,38.1,65,0,3.85,3.85,1996,1.84,0,136,136
1996,0,0,0,1,1.5,2.5,2.5,-,-,0,0,0,-,1996,53.5,23.1,37,0,6.76,6.76,1995,0.02,0,12500,12500
1995,0,0,0,1,1.5,2.5,2.5,-,-,-,-,-,-,1995,46,17.3,31.7,0,7.89,7.89,1994,2.88,0,86.8,86.8
1994,0,0,0,2.5,0,2.5,2.5,-,-,-,-,-,-,1994,85,32.29,53.3,0,4.69,4.69,1993,4.96,0,50.4,50.4
1993,0,0,0,2.5,0,2.5,2.5,-,-,0,0,0,-,1993,79,59.5,68.8,0,3.64,3.64,1992,4.76,0,52.6,52.6
1992,0,0,0,2.5,0,2.5,2.5,-,-,0,0,0,-,-,-,-,-,-,-,-,1991,3.21,0,78,78
1991,0.5,0,0.5,0.77,0,0.77,1.27,-,-,0,0,0,-,-,-,-,-,-,-,-,1990,1.91,26.1,40.2,66.3
1990,0,0,0,1.18,0,1.18,1.18,-,-,-,-,-,-,-,-,-,-,-,-,-,1989,-,-,-,-
平均,0.5,0,0.5,0.56,0.26,0.83,1.32,,,,,,,平均,35.8,16.3,25,3.5,2.2,5.6,平均,1.73,38.6,917,956
累計,14.4,0,14.4,16.4,7.6,24,38.3,,,,,,,累計,,,,,,,累計,48.4,,,
