盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.4,0,0.4,0.4,0,0.4,0.8,0.43,4.29,-,-,-,-,2018,36.8,28.55,32.6,1.23,1.23,2.45,2017,0.88,45.5,45.5,90.9
2017,0.5,0,0.5,0.5,0,0.5,1,0.51,5.11,-,-,-,-,2017,42.3,31,37.2,1.35,1.35,2.69,2016,1.37,36.5,36.5,73
2016,0.5,0,0.5,0.7,0,0.7,1.2,0.48,6.68,-,-,-,-,2016,48.9,40.1,43.1,1.16,1.63,2.79,2015,1.7,29.4,41.2,70.6
2015,0.5,0,0.5,0.7,0,0.7,1.2,0.45,6.24,0.09,0.05,0.01,0,2015,48.7,40.2,45,1.11,1.56,2.67,2014,1.93,25.9,36.3,62.2
2014,0.7,0,0.7,0.5,0,0.5,1.2,0.59,4.25,0,0,0.01,0,2014,50.8,39.4,41.7,1.68,1.2,2.88,2013,1.67,41.9,29.9,71.9
2013,0.7,0,0.7,0.5,0,0.5,1.2,0.57,4.05,0,0,0.01,0,2013,43.65,38,40.8,1.72,1.23,2.94,2012,1.78,39.3,28.1,67.4
2012,0.7,0,0.7,0.5,0,0.5,1.2,0.54,38.5,0,0,0.01,0,2012,58,33.45,39.4,1.78,1.27,3.05,2011,1.88,37.2,26.6,63.8
2011,0.5,0,0.5,1,0,1,1.5,0.32,6.34,0,0,0.01,0,-,-,-,-,-,-,-,2010,2.14,23.4,46.7,70.1
2010,0,0,0,1.2,0,1.2,1.2,0,6.79,0,0,0.01,0,-,-,-,-,-,-,-,2009,1.03,0,116,116
平均,0.5,0,0.5,0.67,0,0.67,1.17,,,,,,,平均,47,35.8,40,1.4,1.4,2.8,平均,1.6,31,45.3,76.3
累計,4.5,0,4.5,6,0,6,10.5,,,,,,,累計,,,,,,,累計,14.4,,,
