盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0.35,0,0.35,0,0,0,0.35,0.36,0,-,-,-,-,2018,44.6,38.5,41.8,0.84,0,0.84,2017,0.43,81.4,0,81.4
2017,4,0,4,0,0,0,4,4.17,0,-,-,-,-,2017,68.8,42.7,54.1,7.39,0,7.39,2016,8.16,49,0,49
2016,2.8,0.8,3.6,0,0,0,3.6,3.75,0,-,-,-,-,2016,79,46.2,63.1,5.71,0,5.71,2015,4.28,84.1,0,84.1
2015,1,0.5,1.5,0,0,0,1.5,1.59,0,0,0,0,0,2015,65,37.6,49.6,3.02,0,3.02,2014,-0.18,-833,0,-833
2014,1.4,0.5,1.9,0,0,0,1.9,2.05,0,2.14,0.93,0,0,2014,62,43,51.3,3.7,0,3.7,2013,2.14,88.8,0,88.8
2013,2.53,0.97,3.5,0,0,0,3.5,3.78,0,3.86,-,0.01,0,2013,68.5,50.5,60.7,5.76,0,5.76,2012,-,-,-,-
2012,3,0,3,2,0,2,5,2.7,18,5,-,0.07,0,2012,92.1,58,72.2,4.15,2.77,6.92,2011,-,-,-,-
2011,6,0,6,0,0,0,6,4.8,0,0,-,0,0,2011,76,60.3,69.8,8.6,0,8.6,2010,-,-,-,-
平均,2.64,0.35,2.98,0.25,0,0.25,3.23,,,,,,,平均,69.5,47.1,57.8,4.9,0.3,5.2,平均,2.97,-106,0,-106
累計,21.1,2.77,23.8,2,0,2,25.8,,,,,,,累計,,,,,,,累計,14.8,,,
