盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,37.2,20.95,27.2,0,0,0,2017,-3.09,0,0,0
2017,0,0.51,0.51,0,0,0,0.51,0.4,0,-,-,-,-,2017,50.3,18.6,26.9,1.9,0,1.9,2016,-5.09,-10,0,-10
2016,0,1.04,1.04,0,0,0,1.04,0.84,0,-,-,-,-,2016,36,19.6,24.5,4.26,0,4.26,2015,-1.98,-52.7,0,-52.7
2015,0,2,2,0,0,0,2,1.72,0,0,0,0,0,2015,61.4,29.9,45.8,4.36,0,4.36,2014,-2.92,-68.3,0,-68.3
2014,1,0,1,0,0,0,1,0.85,0,2.87,3.02,0.09,0,2014,90.3,39.75,62.6,1.6,0,1.6,2013,1.12,89.3,0,89.3
2013,0,0.4,0.4,0,0.1,0.1,0.5,0.34,0.84,0,0,0,0,2013,56.9,34.4,40.1,1,0.25,1.25,2012,-2.15,-18.6,-4.7,-23.3
2012,0.5,0,0.5,0.5,0,0.5,1,0.4,4.01,2.59,6.66,0.04,0,2012,42.9,26.2,32.9,1.52,1.52,3.04,2011,0.49,102,102,204
2011,2.5,0,2.5,0,0,0,2.5,2,0,7.24,2.08,0.35,0,2011,60,26.1,41.2,6.07,0,6.07,2010,4.37,57.2,0,57.2
2010,5.5,0,5.5,0.5,0,0.5,6,4.18,3.8,15.9,2.61,0.61,0,2010,103.5,57.9,78,7.05,0.64,7.69,2009,8.05,68.3,6.2,74.5
2009,3,0,3,0,0,0,3,2.27,0,8.81,1.49,0.59,0,2009,122,50.6,85,3.52,0,3.52,2008,7.67,39.1,0,39.1
2008,7.04,0,7.04,1.01,0,1.01,8.05,-,-,18.9,2.02,0.36,1.6,2008,245,43.9,143,4.94,0.71,5.65,2007,14.86,47.4,6.8,54.2
2007,6,0,6,1,0,1,7,-,-,13.2,2.28,0.21,-,2007,251,187,221,2.71,0.45,3.16,2006,11.27,53.2,8.9,62.1
平均,2.13,0.33,2.46,0.25,0.01,0.26,2.72,,,,,,,平均,96.4,46.2,69,3.2,0.3,3.5,平均,2.72,25.6,9.9,35.5
累計,25.5,3.95,29.5,3.01,0.1,3.11,32.6,,,,,,,累計,,,,,,,累計,32.6,,,
