盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,1.6,0,1.6,0,0,0,1.6,5.01,0,-,-,-,-,2018,34.75,26.8,31,5.16,0,5.16,2017,2.12,75.5,0,75.5
2017,2,0,2,0,0,0,2,6.26,0,-,-,-,-,2017,37.8,29.15,33.3,6.01,0,6.01,2016,3.17,63.1,0,63.1
2016,1.5,0,1.5,0,0,0,1.5,4.69,0,-,-,-,-,2016,39.4,20.4,29.6,5.06,0,5.06,2015,2.43,61.7,0,61.7
2015,1,0,1,0,0,0,1,3.13,0,12,2.34,0.05,0,2015,26.15,15.15,21.1,4.75,0,4.75,2014,1.64,61,0,61
2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,22.8,15.5,18.9,0,0,0,2013,0.2,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,19.4,10.5,13.9,0,0,0,2012,-0.57,0,0,0
2012,0.1,0,0.1,0.1,0,0.1,0.2,0.31,3.12,2.7,5.56,0.01,0,2012,15.2,10,12.1,0.83,0.83,1.67,2011,0.15,66.9,66.9,134
2011,0,0,0,0.3,0,0.3,0.3,0,9.14,1.3,1.01,0,0,2011,20.9,11.2,14.9,0,2.01,2.01,2010,0.42,0,71.4,71.4
2010,0.5,0,0.5,1,0,1,1.5,1.38,27.7,5,0.91,0.05,0,2010,27.7,17.5,21.2,2.36,4.72,7.08,2009,2,25,50,75
2009,0.3,0,0.3,0.3,0,0.3,0.6,0.81,8.07,5,2.53,0.02,0,2009,29.45,10.05,19.4,1.54,1.54,3.09,2008,0.72,41.7,41.7,83.3
2008,0.41,0,0.41,0.41,0,0.41,0.81,-,-,5,1.09,0.04,0,2008,25.8,9.43,17.2,2.36,2.36,4.73,2007,1.8,22.6,22.6,45.3
2007,0.15,0,0.15,0.15,0,0.15,0.29,-,-,2,2.4,0.01,-,2007,32,18.55,23.9,0.61,0.61,1.22,2006,0.34,42.7,42.7,85.4
2006,0,0,0,0,0,0,0,-,-,0,0,0,-,2006,28.2,16.9,22.1,0,0,0,2005,-1.26,0,0,0
2005,0.3,0,0.3,1.2,0,1.2,1.5,-,-,5,1.12,0.03,-,2005,33.2,18.1,24.2,1.24,4.96,6.2,2004,2.08,14.4,57.7,72.1
2004,1.25,0,1.25,1.25,0,1.25,2.5,-,-,5,0.89,0.05,-,2004,50.5,26.6,36,3.47,3.47,6.94,2003,2.93,42.7,42.7,85.3
2003,3,0,3,0.5,0,0.5,3.5,-,-,5,0.68,0.07,-,2003,69.5,46.1,56.6,5.3,0.88,6.18,2002,4.04,74.3,12.4,86.6
2002,0.8,0,0.8,0.8,0,0.8,1.6,-,-,0,0,0,-,2002,61,20.8,40.2,1.99,1.99,3.98,2001,1.68,47.6,47.6,95.2
2001,0,0,0,0.3,0,0.3,0.3,-,-,0,0,0,-,2001,24.3,11.3,17.8,0,1.69,1.69,2000,0.52,0,57.7,57.7
2000,0.5,0,0.5,1.4,0.6,2,2.5,-,-,0,0,0,-,2000,47,11.05,25.3,1.97,7.9,9.87,1999,2.15,23.3,93,116
1999,1,0,1,2,0,2,3,-,-,-,-,-,-,1999,72,32,49.4,2.03,4.05,6.08,1998,3.55,28.2,56.3,84.5
1998,0,0,0,2.5,0.5,3,3,-,-,-,-,-,-,1998,160,59,96.3,0,3.12,3.12,1997,3.45,0,87,87
1997,0,0,0,2,0,2,2,-,-,-,-,-,-,1997,80,59,67.7,0,2.95,2.95,1996,-0.54,0,-368,-368
1996,0,0,0,1.5,0.5,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1995,-,-,-,-
1995,0,0,0,0.4,1,1.4,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,1994,-,-,-,-
1994,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1993,-,-,-,-
1993,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,1992,-,-,-,-
平均,0.55,0,0.55,0.62,0.1,0.72,1.27,,,,,,,平均,43.5,22.5,31.5,2,2,4,平均,1.5,31.4,17.4,48.7
累計,14.4,0,14.4,16.1,2.6,18.7,33.1,,,,,,,累計,,,,,,,累計,33,,,
