盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,7.44,0,7.44,0,0,0,7.44,14.1,0,-,-,-,-,2018,621,275,453,1.65,0,1.65,2017,18.07,41.2,0,41.2
2017,5.37,0,5.37,0,0,0,5.37,9.61,0,-,-,-,-,2017,536,238,378,1.42,0,1.42,2016,10.72,50.1,0,50.1
2016,4,0,4,0,0,0,4,7.16,0,-,-,-,-,2016,292,129,221,1.81,0,1.81,2015,7.64,52.4,0,52.4
2015,4.8,0,4.8,0.5,0,0.5,5.3,8.18,8.52,0,0,0.62,0,2015,284,127,201,2.39,0.25,2.64,2014,10.39,46.2,4.8,51
2014,6.3,0,6.3,0,0,0,6.3,10.7,0,0,0,0.72,0,2014,360,190.5,286,2.2,0,2.2,2013,10.55,59.7,0,59.7
2013,3.8,0,3.8,0.7,0,0.7,4.5,5.7,10.5,0,-,0.23,0,2013,270,136.5,185,2.05,0.38,2.43,2012,-,-,-,-
2012,5.3,0,5.3,0,0,0,5.3,7.95,0,0,-,0.39,0,2012,181.5,120.5,155,3.41,0,3.41,2011,-,-,-,-
2011,4.36,0,4.36,0,0,0,4.36,6.54,0,0,-,0.24,0,2011,272,107,186,2.35,0,2.35,2010,-,-,-,-
2010,-,-,-,-,-,-,-,-,-,-,-,-,-,2010,166,130,152,-,-,-,-,-,-,-,-
平均,4.6,0,4.6,0.13,0,0.13,4.73,,,,,,,平均,331,162,246,2.2,0.1,2.2,平均,11.5,49.9,1,50.9
累計,41.4,0,41.4,1.2,0,1.2,42.6,,,,,,,累計,,,,,,,累計,57.4,,,
