盈餘發放年度,現金股利盈餘,現金股利公積,現金股利合計,股票股利盈餘,股票股利公積,股票股利合計,股利合計,股利總計現金(億),股利總計股票(千張),董監酬勞合計(百萬),董監酬勞合計佔淨利(%),員工紅利現金(億),員工紅利股票(千張),股價年度,股價統計(元)最高,股價統計(元)最低,股價統計(元)年均,年均殖利率(%)現金,年均殖利率(%)股票,年均殖利率(%)合計,盈餘年度,EPS(元),盈餘分配率(%)配息,盈餘分配率(%)配股,盈餘分配率(%)合計
2018,0,0,0,0,0,0,0,0,0,-,-,-,-,2018,54.5,19.85,32.3,0,0,0,2017,-0.07,0,0,0
2017,0.5,0,0.5,0,0,0,0.5,0.46,0,-,-,-,-,2017,27.4,15.25,20.9,2.39,0,2.39,2016,0.28,179,0,179
2016,0.5,0,0.5,0,0,0,0.5,0.46,0,-,-,-,-,2016,22.75,12.8,14.8,3.39,0,3.39,2015,0.01,5000,0,5000
2015,0.5,0,0.5,0,0,0,0.5,0.46,0,1.47,190.9,0.01,0,2015,19.3,10.4,14.1,3.55,0,3.55,2014,0.01,5000,0,5000
2014,0.5,0,0.5,0,0,0,0.5,0.46,0,1.47,89.8,0.01,0,2014,15.7,13.05,14.3,3.5,0,3.5,2013,0.02,2500,0,2500
2013,0.5,0,0.5,0,0,0,0.5,0.46,0,1.47,-17.54,0.01,0,2013,17.6,13.5,15,3.33,0,3.33,2012,-0.09,-556,0,-556
2012,0.5,0,0.5,0,0,0,0.5,0.46,0,1.44,-1.81,0,0,2012,23.4,13.2,16.9,2.96,0,2.96,2011,-0.87,-57.5,0,-57.5
2011,10,0,10,0,0,0,10,9.2,0,9.39,0.47,0.09,0,2011,56.2,16.8,32.8,30.5,0,30.5,2010,21.68,46.1,0,46.1
2010,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,64.6,26.35,40.5,0,0,0,2009,0.3,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,28.6,9.6,16.3,0,0,0,2008,0.23,0,0,0
2008,0,0,0,0,0,0,0,-,-,0,0,0,0,2008,18.7,9.14,13.1,0,0,0,2007,0.1,0,0,0
2007,0,0,0,0,0,0,0,-,-,0,0,0,-,2007,18.95,10.8,13.2,0,0,0,2006,-0.76,0,0,0
2006,0,0,0,0,0,0,0,-,-,0,0,0,-,2006,14.8,7.7,10.4,0,0,0,2005,0.01,0,0,0
2005,0.2,0,0.2,0,0,0,0.2,-,-,0.61,2.22,0.01,-,2005,12.3,8,9.45,2.12,0,2.12,2004,0.29,69,0,69
2004,0.2,0,0.2,0,0,0,0.2,-,-,0.63,2.19,0.01,-,2004,16.3,8.25,10.4,1.92,0,1.92,2003,0.28,71.4,0,71.4
2003,0.3,0,0.3,0,0,0,0.3,-,-,1.06,3.84,0.02,-,2003,11.6,6.6,8.88,3.38,0,3.38,2002,0.25,120,0,120
2002,0.6,0,0.6,0,0,0,0.6,-,-,0,0,0,-,2002,16.2,6.9,10.7,5.62,0,5.62,2001,0.96,62.5,0,62.5
2001,0.3,0,0.3,0,0,0,0.3,-,-,0,0,0,-,2001,15.2,8.05,11.3,2.66,0,2.66,2000,0.38,78.9,0,78.9
2000,0,0,0,0,0,0,0,-,-,-,-,-,-,2000,17.2,7.2,10.9,0,0,0,1999,0.1,0,0,0
1999,0,0,0,0,0,0,0,-,-,0,0,0,-,1999,25.5,10,17.1,0,0,0,1998,-1.5,0,0,0
1998,0,0,0,0,0,0,0,-,-,0,0,0,-,1998,56,17.5,34.6,0,0,0,1997,0.13,0,0,0
1997,0,0,0,0,0,0,0,-,-,0,0,0,-,1997,72,36.1,47.5,0,0,0,1996,0.36,0,0,0
1996,0,0,0,0,0,0,0,-,-,0,0,0,-,1996,50.5,35.9,41.4,0,0,0,1995,-1.18,0,0,0
1995,0.2,0,0.2,0.6,0.4,1,1.2,-,-,0,0,0,-,1995,63,24.8,40.8,0.49,2.45,2.94,1994,1.36,14.7,73.7,88.5
1994,0,0,0,0.7,0.5,1.2,1.2,-,-,0,0,0,-,1994,81,51,66.3,0,1.81,1.81,1993,1.09,0,110,110
1993,0,0,0,2,0.5,2.5,2.5,-,-,0,0,0,-,1993,99,58,72.7,0,3.44,3.44,1992,2.98,0,83.8,83.8
1992,0,0,0,0,1,1,1,-,-,0,0,0,-,1992,208,62,123,0,0.81,0.81,1991,1.63,0,61.5,61.5
1991,0,0,0,0,0,0,0,-,-,0,0,0,-,1991,158,42,86.2,0,0,0,1990,-3.31,0,0,0
1990,0,0,0,0,0.3,0.3,0.3,-,-,0,-,0,-,-,-,-,-,-,-,-,1989,-,-,-,-
1989,0.6,0,0.6,1.6,0,1.6,2.2,-,-,-,-,-,-,-,-,-,-,-,-,-,1988,-,-,-,-
1988,2.5,0,2.5,8.5,0,8.5,11,-,-,-,-,-,-,-,-,-,-,-,-,-,1987,-,-,-,-
1987,1,0,1,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1986,-,-,-,-
1986,0,0,0,0,5.65,5.65,5.65,-,-,-,-,-,-,-,-,-,-,-,-,-,1985,-,-,-,-
平均,0.57,0,0.57,0.41,0.25,0.66,1.23,,,,,,,平均,45.9,20,30.2,2.3,0.3,2.7,平均,0.88,447,11.8,459
累計,18.9,0,18.9,13.4,8.35,21.8,40.6,,,,,,,累計,,,,,,,累計,24.7,,,
