1710,2018/06,32.9,+0.25,+0.8,88.57,"91,438",10.3,"-64,674","2,000",2.2,0,0,0,0,0,"91,438",10.3,"-64,674","2,000",2.2,14.3
1711,2018/06,18.6,-0.7,-3.6,54.78,"118,049",21.6,+158,0,0,0,0,0,0,0,"118,049",21.6,+158,0,0,8.1
1714,2018/06,8.52,-0.21,-2.4,101.7,"100,981",9.9,-200,"30,000",29.7,0,0,0,0,0,"100,981",9.9,-200,"30,000",29.7,22.7
1722,2018/06,41.85,-1.35,-3.1,98,"270,547",27.6,-178,0,0,0,0,0,0,0,"270,547",27.6,-178,0,0,17
1776,2018/06,21.95,+1.3,+6.3,6.956,"5,817",8.4,"-7,009",0,0,0,0,0,0,0,"5,817",8.4,"-7,009",0,0,0.1
1783,2018/06,32.55,+1.8,+5.9,7.876,"8,668",11,-343,"4,100",47.3,0,0,0,0,0,"8,668",11,-343,"4,100",47.3,16.4
1802,2018/06,17.2,-1.05,-5.8,290.8,"1,260,823",43.4,-162,"325,997",25.8,0,0,0,0,0,"1,260,823",43.4,-162,"325,997",25.8,7.1
1806,2018/06,7.61,-0.41,-5.1,43.73,"26,706",6.1,"-3,269",0,0,0,0,0,0,0,"26,706",6.1,"-3,269",0,0,18.1
1808,2018/06,54.4,-7.6,-12.3,24.45,"28,882",11.8,-290,0,0,0,0,0,0,0,"28,882",11.8,-290,0,0,6.2
1817,2018/06,40.55,-0.3,-0.7,7.26,"11,691",16.1,+18,0,0,0,0,0,0,0,"11,691",16.1,+18,0,0,5
1907,2018/06,12.05,-1,-7.7,166,"96,063",5.8,"+18,238",0,0,0,0,0,0,0,"96,063",5.8,"+18,238",0,0,18.5
1909,2018/06,26,-7.25,-21.8,113.4,"399,984",35.3,"+1,800","21,400",5.4,0,0,0,0,0,"399,984",35.3,"+1,800","21,400",5.4,9.3
2007,2018/06,5.04,+0.02,+0.4,53.07,"385,176",72.6,"+82,929",0,0,0,0,0,0,0,"385,176",72.6,"+82,929",0,0,0.1
2008,2018/06,12.6,+0.1,+0.8,20.09,"64,234",32,"-16,556",0,0,0,0,0,0,0,"64,234",32,"-16,556",0,0,7.2
2009,2018/06,10.55,-0.25,-2.3,35.96,"142,734",39.7,"-2,376",0,0,0,0,0,0,0,"142,734",39.7,"-2,376",0,0,6.5
2012,2018/06,19.85,-0.2,-1,28.78,"86,216",30,+376,"35,000",40.6,0,0,0,0,0,"86,216",30,+376,"35,000",40.6,3.1
2017,2018/06,9.45,-1.15,-10.8,32.71,"110,281",33.7,"+7,620","62,798",56.9,214,0.1,+9,0,0,"110,495",33.8,"+7,629","62,798",56.8,4.1
