18Q1,56,40,8.95,13.85,+4.9,+54.7,-1.01,-1.01,-1.1,-0.17,0,0.01,-1.26,-1.27,10.4,9.16,-806,-0.18
2017,55.5,47,6.49,8.95,+2.46,+37.9,-2.27,-2.78,-2.6,-1.42,0,-0.01,-4.03,-4.02,14.5,10.4,-385,-0.5
2016,55.6,49,6.93,6.49,-0.44,-6.3,-0.88,-1.89,-2.12,2.59,0.03,-0.03,0.48,0.47,14,14.5,-371,-0.34
2015,51.3,53,9.03,6.93,-2.1,-23.3,0.6,0.1,-2.28,1.45,0,-0.01,-0.85,-0.83,14.8,14,-281,0.02
2014,61.7,47,8.9,9.03,+0.13,+1.5,-1.15,-1.17,-2.07,2.93,0.01,0,0.88,0.87,13.9,14.8,-151,-0.19
2013,60.9,43,11.4,8.9,-2.5,-21.9,-2.76,-2.86,-4.88,0.73,0,0,-4.14,-4.15,18.1,13.9,-390,-0.47
2012,62.2,43,12.25,11.4,-0.85,-6.9,-12.7,-14.9,-8.64,-1,-2.9,-0.01,-12.5,-9.64,30.6,18.1,-215,-2.39
2011,68.2,49,20,12.25,-7.75,-38.8,-6.45,-6.96,0.84,-2.67,-9.1,0.03,-10.9,-1.83,41.5,30.6,22.9,-1.02
2010,71.2,60,24.8,20,-4.8,-19.4,1.71,1.42,3.15,-4.17,-7.81,-0.04,-8.87,-1.02,50.4,41.5,56.5,0.2
2009,71.2,70,4.72,24.8,+20.08,+425.4,7.07,6.05,7.37,1.45,-1.35,-0.03,7.44,8.81,43,50.4,125,0.85
2008,140,49,11.3,4.72,-6.58,-58.2,-56.7,-62.9,14.9,0.6,-2.62,0.04,13,15.5,30,43,280,-4.49
2007,148,36,19.9,11.3,-8.6,-43.2,-17.6,-18.8,-8.63,4.39,2.69,-0.04,-1.59,-4.24,31.6,30,-47.2,-1.27
2006,137,51,22.3,19.9,-2.4,-10.8,1.45,1.65,1.99,-15.6,-2.11,0,-15.7,-13.6,47.3,31.6,21.1,0.12
2005,133,53,12.7,22.3,+9.6,+75.6,9.6,9.55,15.1,-4.4,-8.38,0.02,2.3,10.7,45,47.3,42.8,0.72
2004,133,45,22.8,12.7,-10.1,-44.3,-19.3,-20,38,27.3,-45.6,-0.04,19.7,65.3,25.3,45,128,-1.5
2003,136,45,26.5,22.8,-3.7,-14,2.05,2.04,53.5,-54.4,-3.63,-0.01,-4.57,-0.93,31.7,27.1,64.7,0.15
2002,108,30,57.5,26.5,-31,-53.9,-42.6,-41.8,32.8,-36.7,6.06,0,2.07,-3.99,29.6,31.7,43.4,-3.88
2001,107,36,36.6,57.5,+20.9,+57.1,-10.9,-6.08,16.9,-37.9,21.3,0.03,0.35,-21,29.3,29.6,22.9,-0.57
2000,,-,106,36.6,-69.4,-65.5,,,,,,,,,,,-,
1999,,-,59,106,+47,+79.7,,,,,,,,,,,-,
1998,,-,35.9,59,+23.1,+64.3,,,,,,,,,,,-,
1997,,-,57.5,35.9,-21.6,-37.6,,,,,,,,,,,-,
