18Q1,79.1,77,35.45,32.4,-3.05,-8.6,0.9,1.36,2.97,-3.15,0.29,0.16,0.27,-0.18,39.1,39.4,100,0.17
2017,79.7,64,38.65,35.45,-3.2,-8.3,4.75,4.22,9.72,-4.37,-3.14,-0.17,2.04,5.34,37.1,39.1,87.1,0.53
2016,75.7,68,53.8,38.65,-15.15,-28.2,8.11,6.59,16.7,-2.02,-1.38,0.46,13.7,14.6,23.4,37.1,98.4,0.87
2015,73,68,56,53.8,-2.2,-3.9,8.03,6.35,10.4,-9.44,3.06,0.02,4.08,1,19.3,23.4,45.9,0.87
2014,70.2,62,87.6,56,-31.6,-36.1,6.02,4.84,8.88,-10.1,-2.22,-0.22,-3.62,-1.18,22.9,19.3,46.3,0.69
2013,67.7,77,69.8,87.6,+17.8,+25.5,14.1,12.7,9.39,-13.5,-3.55,0.17,-7.46,-4.07,30.4,22.9,52.9,1.88
2012,65,79,43.3,69.8,+26.5,+61.2,13.7,11.7,10.2,-8.6,-3.68,-0.52,-2.59,1.61,32.9,30.4,86,1.8
2011,61.5,81,46,43.3,-2.7,-5.9,11.4,9.59,12.9,-8.1,8.96,0.05,13.9,4.85,19.1,32.9,154,1.56
2010,57.5,85,-,-,-,-,12,10.4,15.6,-6.02,2.35,-0.29,11.7,9.62,7.4,19.1,263,1.81
2009,55.1,79,-,-,-,-,11,10.4,13,-2.2,-10.1,-0.14,0.57,10.8,6.83,7.4,190,1.89
