18Q1,16.6,40,6.05,10.45,+4.4,+72.7,-0.13,-0.13,0.1,-0.03,0.41,-0.02,0.46,0.07,1.39,1.85,12.4,-0.08
2017,17,43,6.4,6.05,-0.35,-5.5,-0.34,-0.34,0.09,-0.76,-0.93,-0.2,-1.8,-0.67,3.19,1.39,3.17,-0.2
2016,17.3,51,6.08,6.4,+0.32,+5.3,0.19,0.14,1.38,-0.63,0.75,-0.03,1.47,0.75,1.72,3.19,37.4,0.08
2015,16.7,49,9.09,6.08,-3.01,-33.1,0.09,0.05,2.89,-1.19,-0.59,0.05,1.16,1.7,0.56,1.72,108,0.03
2014,16.2,45,5,9.09,+4.09,+81.8,1.24,1.2,-0.48,-0.22,-0.04,0.03,-0.72,-0.71,1.28,0.56,-15.8,0.74
2013,16.1,38,4.2,5,+0.8,+19,0.28,0.26,0,0.27,0.22,0.02,0.5,0.27,0.78,1.28,0,0.16
2012,16.1,30,3.8,4.2,+0.4,+10.5,-1.7,-1.8,-0.97,-1.11,0.88,-0.05,-1.25,-2.09,2.03,0.78,-27.2,-1.12
2011,16,40,7.57,3.8,-3.77,-49.8,-0.78,-0.8,0.47,0.16,-0.21,0.08,0.5,0.63,1.53,2.03,18.4,-0.5
2010,15.8,53,7.06,7.57,+0.51,+7.2,0.41,0.4,0.93,-2.23,-0.18,-0.14,-1.62,-1.3,3.15,1.53,34.4,0.25
2009,16.5,49,2.09,7.06,+4.97,+237.8,0.02,0.05,1.18,-0.5,-0.62,-0.05,0.01,0.68,3.13,3.15,41.8,0.03
2008,14.8,40,4.87,2.09,-2.78,-57.1,-3.03,-2.99,0.22,-0.64,-0.43,0.06,-0.78,-0.41,3.91,3.13,7.02,-2.02
2007,20.3,26,7.87,4.87,-3,-38.1,-5.37,-5.5,-0.14,0.56,-1.29,0.12,-0.75,0.42,4.66,3.91,-2.18,-2.71
2006,24.6,28,4.3,7.87,+3.57,+83,-8.06,-8.39,-1.91,0.4,1.57,0.03,0.09,-1.51,4.57,4.66,-21.9,-3.41
2005,30.9,36,5.3,4.3,-1,-18.9,0.1,0.03,-1.99,-2.27,-1.36,5.93,0.31,-4.26,4.25,4.57,-32.4,0.01
2004,18.7,34,5.75,5.3,-0.45,-7.8,-5.27,-5.79,1.46,1.74,-1.79,-0.24,1.17,3.2,3.09,4.25,16.7,-3.1
2003,18.7,30,6.2,5.75,-0.45,-7.3,-4.11,-4.38,4.48,0.82,-4.19,-0.04,1.06,5.3,2.02,3.09,52.4,-2.34
2002,27.7,28,6.65,6.2,-0.45,-6.8,-9.66,-9.45,0.52,-1.14,-0.64,0.05,-1.22,-0.63,3.24,2.02,6.28,-3.41
2001,27.8,32,4.62,6.65,+2.03,+43.9,-0.28,-0.69,-0.59,-4.4,1.64,0.51,-2.84,-4.99,6.08,3.24,-6.03,-0.25
2000,,-,31.9,4.62,-27.28,-85.5,,,,,,,,,,,-,
1999,18.1,-,45.2,31.9,-13.3,-29.4,,2.9,3.6,-21.2,21.7,0.03,4.22,-17.6,1.62,5.84,-,1.6
1998,8.71,64,26.1,45.2,+19.1,+73.2,2.82,2.93,0.6,-17,17.9,-0.49,1.01,-16.4,0.61,1.62,8.95,3.36
1997,4.73,40,14.7,26.1,+11.4,+77.6,0.43,0.55,0.5,-0.96,0.81,0.06,0.4,-0.46,0.2,0.61,7.4,1.16
1996,,-,17.1,14.7,-2.4,-14,,,,,,,,,,,-,
1995,7.12,19,42,17.1,-24.9,-59.3,-2.71,-2.5,-1.93,0.41,1.27,0.02,-0.23,-1.52,0.38,0.15,-32.3,-3.51
1994,,-,19.7,42,+22.3,+113.2,,,,,,,,,,,-,
1993,,-,13.6,19.7,+6.1,+44.9,,,,,,,,,,,-,
1992,,-,27.5,13.6,-13.9,-50.5,,,,,,,,,,,-,
1991,,-,28.8,27.5,-1.3,-4.5,,,,,,,,,,,-,
