18Q1,197,49,21.15,21.3,+0.15,+0.7,13.4,9.97,23,-29.3,13.6,-0.9,6.43,-6.31,66.4,72.8,16.1,0.51
2017,197,40,15.05,21.15,+6.1,+40.5,64.2,52.9,3.36,-68.5,72.8,-9.5,-1.89,-65.1,68.3,66.4,0.6,2.69
2016,196,38,10.95,15.05,+4.1,+37.4,48.4,43.4,79.5,2.96,-103,-1.06,-22.1,82.4,90.4,68.3,15.7,2.21
2015,197,36,14.55,10.95,-3.6,-24.7,28.6,21.7,52.5,-23.4,-33.4,4.7,0.47,29.1,89.9,90.4,10.1,1.1
2014,197,36,7.33,14.55,+7.22,+98.5,36.9,29.7,-52.6,-26.6,49,5.29,-24.9,-79.2,115,89.9,-9.21,1.51
2013,197,40,7.3,7.33,+0.03,+0.4,17.3,7.09,58,-8.04,-27.7,3.47,25.7,50,89.1,115,11.9,0.36
2012,197,28,6.24,7.3,+1.06,+17,-24.9,-26,1.57,-28.3,-4.75,-2.76,-34.3,-26.8,123,89.2,0.38,-1.32
2011,196,30,19.9,6.24,-13.66,-68.6,-32.3,-34.1,-1.1,-0.6,17.2,-1.66,13.9,-1.69,110,123,-0.25,-1.74
2010,193,43,20.05,19.9,-0.15,-0.7,44.9,37.4,16.3,-12,18.5,-11.6,11.1,4.25,98.5,110,3.76,1.94
2009,192,30,6.5,20.05,+13.55,+208.5,-7.54,-18.1,164,-19.5,-244,1.63,-97.8,145,196,98.5,29,-0.94
2008,185,32,35.8,6.5,-29.3,-81.8,-25.8,-31.5,56.2,-63.7,120,2.97,115,-7.55,81.1,196,7.68,-1.7
2007,153,34,17.45,35.8,+18.35,+105.2,64.5,47.7,-123,98.3,2.02,-2.74,-25,-24.3,106,81.1,-21,3.11
2006,256,26,31.75,17.45,-14.3,-45,-263,-276,-265,-26.9,267,5.41,-19.4,-292,126,106,-36.3,-10.78
2005,246,21,36.5,31.75,-4.75,-13,-56.2,-52.3,-19.3,-15.6,111,17.4,93.3,-34.9,32.2,126,-1.84,-2.12
2004,231,40,41,36.5,-4.5,-11,79.9,76.2,60.7,-60.7,-15.5,0.34,-15.1,0,47.3,32.2,15.7,3.3
2003,207,40,38.9,41,+2.1,+5.4,80.4,75,28.1,7.05,-27.3,-1.86,6.06,35.2,41.2,47.3,6.7,3.63
2002,163,47,50,38.9,-11.1,-22.2,83.3,74,108,-73.5,-20.3,-0.34,13.5,34.1,27.8,41.2,29.6,4.53
2001,138,34,32.7,50,+17.3,+52.9,29.5,30.3,99.9,-73.3,-22.6,-1,3.05,26.6,24.8,27.8,35.7,2.2
2000,108,40,130,32.7,-97.3,-74.8,42.2,46.2,-16.7,-68.1,92.7,-0.28,7.65,-84.8,17.1,24.8,-6.8,4.27
1999,78.9,36,43.6,130,+86.4,+198.2,21,21.7,-10.8,-60,77,-0.11,6.1,-70.8,11,17.1,-6.72,2.75
1998,65.1,47,61,43.6,-17.4,-28.5,13.1,14.5,16.2,-99.2,97.7,-0.32,14.3,-83,42.2,56.6,18.1,2.23
1997,49.6,47,52.5,61,+8.5,+16.2,18.8,17.1,13.6,-28.8,9.78,-0.51,-5.89,-15.2,48.1,42.2,18.2,3.45
1996,33.4,49,56,52.5,-3.5,-6.2,13.3,12,19.4,-24.1,49.7,-0.06,45,-4.64,3.14,48.1,41.7,3.59
