18Q1,111,64,16.3,17.5,+1.2,+7.4,26.7,19.6,15.4,31.7,-2.8,1.49,45.8,47.1,50.7,96.5,30.8,1.77
2017,111,38,12.95,16.3,+3.35,+25.9,18.3,14.4,11.9,-52.1,27.9,2.93,-9.38,-40.2,60.1,50.7,6,1.29
2016,111,40,11.35,12.95,+1.6,+14.1,17,13,36.2,-22,-5.29,3.18,12,14.1,48.1,60.1,20.5,1.17
2015,110,38,12.95,11.35,-1.6,-12.4,13.1,11.7,35.6,-33.8,9.58,0.53,11.9,1.77,36.2,48.1,19.6,1.06
2014,107,38,14.35,12.95,-1.4,-9.8,5.97,7.52,35.6,-25.5,-6.58,-3.44,0.09,10.1,36.1,36.2,16.5,0.7
2013,107,38,12.3,14.35,+2.05,+16.7,14.4,12,38.9,-22.5,-16.3,1.59,1.68,16.4,34.4,36.1,17.9,1.12
2012,107,38,10.7,12.3,+1.6,+15,19.3,11.3,32.3,-22.9,-19.9,-1.32,-11.9,9.37,46.3,34.4,15.4,1.05
2011,108,38,13.8,10.7,-3.1,-22.5,13.7,9.16,8.62,-56.3,59.7,3.96,16,-47.7,30.4,46.3,4.12,0.85
2010,103,38,12.65,13.8,+1.15,+9.1,23.1,15.7,27.3,-43.4,12.5,-3.23,-6.78,-16,37.1,30.4,16.1,1.52
2009,103,38,6.8,12.65,+5.85,+86,17.8,11.2,33,-11.6,-16.5,-0.68,4.21,21.4,32.9,37.1,18.9,1.09
2008,104,38,10.8,6.8,-4,-37,2.85,0.94,44.6,-26.5,-11.5,0.65,7.33,18.2,25.6,32.9,26.5,0.09
2007,106,38,13.1,10.8,-2.3,-17.6,9.79,6.05,0.76,-28.7,32.5,2.9,7.45,-28,18.2,25.6,0.46,0.57
2006,107,36,8.3,13.1,+4.8,+57.8,11.3,7.71,13.7,-21.5,10.3,0.82,3.28,-7.8,14.9,18.2,14.5,0.72
2005,108,38,12.9,8.3,-4.6,-35.7,4.28,4,1.98,-109,60,55.2,8.36,-107,6.52,14.9,2.28,0.37
2004,,-,11.65,12.9,+1.25,+10.7,,,,,,,,,,,-,
2003,,-,9.3,11.65,+2.35,+25.3,,,,,,,,,,,-,
2002,,-,4.32,9.3,+4.98,+115.3,,,,,,,,,,,-,
2001,,-,7.5,4.32,-3.18,-42.4,,,,,,,,,,,-,
2000,,-,11.3,7.5,-3.8,-33.6,,,,,,,,,,,-,
1999,,-,10.8,11.3,+0.5,+4.6,,,,,,,,,,,-,
1998,,-,17,10.8,-6.2,-36.5,,,,,,,,,,,-,
1997,,-,19.5,17,-2.5,-12.8,,,,,,,,,,,-,
1996,,-,22,19.5,-2.5,-11.4,,,,,,,,,,,-,
1995,,-,45.8,22,-23.8,-52,,,,,,,,,,,-,
1994,,-,31.9,45.8,+13.9,+43.6,,,,,,,,,,,-,
1993,,-,15.7,31.9,+16.2,+103.2,,,,,,,,,,,-,
1992,,-,27.1,15.7,-11.4,-42.1,,,,,,,,,,,-,
1991,,-,20.7,27.1,+6.4,+30.9,,,,,,,,,,,-,
