13Q1,13,72,7.47,9.79,-0.17,-2.2,18.9,7.51,3.92,0.1,2.98,39.6,20.7,0.55,-,15.7(年估),12.9(年估),0.37,+0.15,-
2012,13.1,59,7.64,9.17,-4.21,-35.5,85.9,32.3,14.1,0,10.3,37.6,16.4,0,-,14,11.1,1.28,+0.25,-
2011,12.5,56,11.85,12.6,-6.8,-36.5,63.7,22.9,11.3,-1.03,7.51,36,17.8,-1.62,-,12.5,10,1.03,+0.89,-
2010,11,34,-,-,-,-,37,11.9,6.81,-4.54,0.98,32.2,18.4,-12.3,-,3.2,1.37,0.14,-0.7,-
2009,10.6,69,-,-,-,-,33.8,10.9,6.03,-0.16,5.04,32.2,17.8,-0.48,-,18.6,16.6,0.84,-,-
