2017,12.4,36,42.7,43.4,-3.2,-7,99.7,6.89,2.51,-0.06,1.87,6.91,2.51,-0.06,1.87,5.96,2.46,1.51,-0.49,24.75
2016,12.4,38,45.9,50.4,-13.5,-22.7,84.7,10.1,5.18,-1.17,2.48,11.9,6.11,-1.38,2.93,7.4,3.45,2,-2.11,25.91
2015,12.4,45,59.4,66.1,-8.8,-12.9,95.7,8.66,3.82,2.02,5.09,9.04,3.99,2.11,5.32,14.3,7.16,4.11,-1.39,28.24
2014,12.4,43,68.2,71.8,-11.1,-14,104,10.3,5.35,3.23,6.81,9.94,5.17,3.12,6.58,19.7,8.98,5.5,+0.44,29.41
2013,12.4,49,79.3,78.4,+13.2,+20,103,9.79,5.35,2.13,6.15,9.54,5.22,2.08,5.99,20.3,8.91,5.06,-0.45,26.46
2012,11.6,51,66.1,63.2,+12.5,+23.3,111,10.1,5.81,1.76,6.27,9.14,5.23,1.58,5.65,24.4,11.4,5.51,+0.61,23.86
2011,11.3,49,53.6,57.2,+3.3,+6.6,84.9,7.78,4.64,1.86,5.54,9.16,5.46,2.19,6.53,24.2,11.8,4.9,+0.46,20.96
2010,11.3,53,50.3,48,+5.1,+11.3,74.9,7.46,4.55,1.4,5.02,9.95,6.07,1.87,6.71,23.6,11.9,4.44,+0.73,19.52
2009,11.3,55,45.2,39.6,+17.1,+60.9,58.7,6.61,4.04,1.24,4.19,11.3,6.89,2.12,7.14,21.5,11.3,3.71,+0.32,18.13
2008,11.3,55,28.1,40,-3.3,-10.5,72.9,6.43,3.92,0.66,3.63,8.82,5.38,0.91,4.99,22.6,11.9,3.39,+0.84,16.32
2007,9.01,53,31.4,36.1,+7.25,+30,42.4,4.65,2.39,0.61,2.3,11,5.63,1.43,5.43,17.5,8.81,2.55,+0.44,15.16
2006,9.01,51,24.15,16.5,+12.95,+116,31.4,3.48,1.7,0.5,1.91,11.1,5.43,1.6,6.08,15.9,6.44,2.11,+0.72,14.05
2005,9.01,51,11.2,10.7,+2.15,+23.8,20.4,3.05,1.23,0.15,1.26,14.9,6.04,0.74,6.15,11.1,3.8,1.39,+0.67,12.58
2004,9.01,-,9.05,9.37,-0.4,-4.2,-,-,-,-,0.65,-,-,-,-,-,-,0.72,+0.24,11.82
2003,8.83,-,9.45,8.92,+0.55,+6.2,-,-,-,-,0.42,-,-,-,-,-,-,0.48,+0.23,11.57
2002,8.83,-,8.9,11.2,-1.25,-12.3,-,-,-,-,0.22,-,-,-,-,-,-,0.25,-0.52,11.44
2001,8.55,-,10.15,12.2,-0.65,-6,-,-,-,-,0.66,-,-,-,-,-,-,0.77,-0.58,11.83
2000,8.12,-,10.8,16.5,-8.2,-43.2,-,-,-,-,1.1,-,-,-,-,-,-,1.35,-0.27,12.41
1999,7.7,-,-,-,-,-,-,-,-,-,1.22,-,-,-,-,-,-,1.62,+0.36,12.67
1998,6.38,-,-,-,-,-,-,-,-,-,0.8,-,-,-,-,-,-,1.26,-,12.58
1997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1996,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
