2017,30.1,39,14.5,13.7,+1.3,+9.8,58.8,17.6,5.16,0,4.6,29.9,8.77,-0.01,7.83,8.31,3.07,1.53,-0.06,18.92
2016,30.1,43,13.2,11.7,+1.6,+13.8,56.1,17.7,5.66,-0.01,4.8,31.5,10.1,-0.03,8.55,9.33,3.3,1.59,+0.94,17.84
2015,30.1,36,11.6,14.1,-4,-25.6,50.7,13.8,2.54,0,1.95,27.2,5,0,3.85,3.98,1.41,0.65,-0.73,16.29
2014,30.1,41,15.6,17.6,-4.05,-20.6,49.2,15.7,5.08,0,4.16,31.9,10.3,0,8.46,8.48,3.06,1.38,-0.96,16.29
2013,30.1,48,19.65,18.9,+3.55,+22,49.5,18.5,7.94,-0.01,7.06,37.4,16,-0.02,14.2,14.4,5.17,2.34,+0.24,16.29
2012,30.1,-,16.1,13.6,+3.4,+26.8,-,-,-,-,6.31,-,-,-,-,-,-,2.1,+0.7,15.81
2011,30.1,-,12.7,17,-7.75,-37.9,-,-,-,-,4.22,-,-,-,-,-,-,1.4,-1.16,13.22
2010,30.1,-,20.45,14,+8.1,+65.6,-,-,-,-,7.7,-,-,-,-,-,-,2.56,+1.94,14.27
2009,30.1,-,12.35,9.91,+5.97,+93.6,-,-,-,-,1.88,-,-,-,-,-,-,0.62,+0.47,12.72
2008,30.1,-,6.38,12.4,-8.27,-56.5,-,-,-,-,0.45,-,-,-,-,-,-,0.15,-1.02,9.17
2007,28.3,-,14.65,17,-2.55,-14.8,-,-,-,-,3.3,-,-,-,-,-,-,1.17,-1.31,12.68
2006,25.8,-,17.2,12.3,+5.4,+45.8,-,-,-,-,6.34,-,-,-,-,-,-,2.48,+2.27,13.85
2005,25.8,-,11.8,16,-10.6,-47.3,-,-,-,-,0.53,-,-,-,-,-,-,0.21,-2.01,11.6
2004,23.5,-,22.4,20.8,+7.8,+53.4,-,-,-,-,5.02,-,-,-,-,-,-,2.22,+0.1,12.73
2003,21,-,14.6,10.4,+5.75,+65,-,-,-,-,4.15,-,-,-,-,-,-,2.12,+1.21,12.18
2002,20,-,8.85,7.78,+0.95,+12,-,-,-,-,1.7,-,-,-,-,-,-,0.91,+0.39,11.4
2001,20,-,7.9,9.05,+0.9,+12.9,-,-,-,-,0.91,-,-,-,-,-,-,0.52,-0.34,9.92
2000,17,-,7,8.46,-4.6,-39.7,-,-,-,-,1.34,-,-,-,-,-,-,0.86,+0.08,11.55
1999,14,-,-,-,-,-,-,-,-,-,1.01,-,-,-,-,-,-,0.78,+0.14,11.76
1998,11.5,-,-,-,-,-,-,-,-,-,0.73,-,-,-,-,-,-,0.64,-,11.97
1997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1996,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
