13Q1,347,31,4.13,4.96,-1.71,-29.3,14748,1860,-745,0,-239,12.6,-5.05,0,-,-1.87(年估),-1.61(年估),0,+0.01,-
2012,0.34,41,5.84,7.29,-2.96,-33.6,59.5,6.51,-2.28,2.63,0.22,10.9,-3.83,4.41,-,0.43,0.36,0.03,-0.55,-
2011,0.35,47,8.8,11.4,-6.5,-42.5,81.9,14.3,3.44,3.25,5.2,17.5,4.2,3.97,6.35,9.99,8.22,0.58,-0.27,-
2010,0.35,56,15.3,15.7,+2.35,+18.1,75,17.8,7.12,2.4,7.63,23.8,9.5,3.21,10.2,14.6,11.4,0.85,+0.11,-
2009,0.37,50,12.95,14.4,-0.55,-4.1,69.7,17.3,6.91,1.22,6.82,24.8,9.91,1.75,9.78,12.4,9.2,0.74,+0.44,-
2008,0.38,44,-,-,-,-,71.2,15.8,1.33,2.63,2.62,22.2,1.87,3.7,-,4.63,3.37,0.3,-,-
