2017,5,48,64.3,27.1,+49.5,+334,13.4,3.66,2.15,-0.49,1.36,27.3,16,-3.67,10.1,19,7.56,2.71,+0.91,15.19
2016,5,45,14.8,13.6,+0.65,+4.6,9.55,2.59,1.22,-0.17,0.9,27.1,12.8,-1.78,9.42,14.2,6.57,1.8,+0.35,13.35
2015,5,41,14.15,14,+0.8,+6,9.03,2.05,0.72,0.15,0.73,22.7,7.99,1.66,8.05,12.7,6.18,1.45,+0.36,12.06
2014,5,45,13.35,11.9,+3.59,+36.8,7.56,1.74,0.57,0.04,0.54,23.1,7.48,0.59,7.18,10.6,5.28,1.09,+0.39,10.76
2013,5,36,9.76,8.11,+2.76,+39.4,7.08,1.44,0.37,0.02,0.35,20.4,5.27,0.25,4.95,7.58,3.51,0.7,+0.42,9.65
2012,5,25,7,7.86,-0.14,-2,6.44,1.19,0.2,-0.06,0.14,18.5,3.08,-0.92,2.21,3.27,1.47,0.28,-0.24,8.82
2011,5,40,7.14,7.38,-0.51,-6.7,6.61,1.28,0.3,0,0.26,19.3,4.47,0.04,3.91,6.25,2.81,0.52,+0.44,8.55
2010,5,34,7.65,7.01,+1.05,+15.9,6.31,1.22,0.28,-0.17,0.04,19.4,4.5,-2.74,0.65,1.03,0.48,0.08,+0.4,8
2009,6.29,26,6.6,5.84,+1.52,+29.9,5.05,0.83,-0.03,-0.08,-0.2,16.5,-0.67,-1.61,-3.97,-4.92,-2.25,-0.32,-0.54,6.31
2008,6.29,25,5.08,6.69,-1.72,-25.3,6.49,1.07,0.2,-0.14,0.14,16.6,3.13,-2.15,2.1,3.32,1.47,0.22,+0.71,6.64
2007,6.29,18,6.8,6.87,+0.45,+7.1,5.08,0.81,-0.01,0.02,-0.31,16,-0.16,0.42,-6.11,-7.4,-3.28,-0.49,+0.42,6.42
2006,7.9,16,6.35,4.02,+3.13,+97.2,4.47,0.32,-0.59,0,-0.53,7.12,-13.2,-0.09,-11.9,-12.6,-5.37,-0.91,+1.96,5.51
2005,5.61,21,3.22,4.83,-5.48,-63,4.13,0.01,-0.91,-0.68,-1.61,0.23,-22,-16.6,-39.1,-33.3,-14.6,-2.87,-1.75,7.21
2004,7.88,21,8.7,9.98,-4.5,-34.1,5.41,0.51,-0.77,-0.19,-0.88,9.4,-14.2,-3.51,-16.2,-14.4,-6.44,-1.12,-0.82,7.17
2003,7.88,21,13.2,9.93,+0.55,+4.3,6.31,1.17,-0.13,-0.14,-0.23,18.6,-2.1,-2.29,-3.69,-3.55,-1.53,-0.3,+1.43,8.3
2002,7.88,-,12.65,12,+6.1,+93.1,-,-,-,-,-1.37,-,-,-,-,-,-,-1.73,-0.29,8.61
2001,7.88,-,6.55,6.76,-0.4,-5.8,-,-,-,-,-1.13,-,-,-,-,-,-,-1.44,-1.18,10.35
2000,7.88,-,6.95,15.2,-27.25,-79.7,-,-,-,-,-0.19,-,-,-,-,-,-,-0.26,-1.55,11.74
1999,6.07,-,-,-,-,-,-,-,-,-,0.78,-,-,-,-,-,-,1.29,-0.53,13.18
1998,5.06,-,-,-,-,-,-,-,-,-,0.78,-,-,-,-,-,-,1.82,-,14.32
1997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1996,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
