2017,425,43,36.45,35.1,+1.3,+3.7,983,189,140,-1.38,75.9,19.2,14.2,-0.14,10.5,6.88,3.83,2.03,+0.31,32.11
2016,369,47,35.15,33,+7.85,+28.8,896,180,130,-15.2,63.6,20.1,14.6,-1.7,9.87,5.84,3.16,1.72,+0.16,28.92
2015,369,45,27.3,37.8,-16.1,-37.1,937,145,96.7,-10.1,57.8,15.5,10.3,-1.08,7.39,4.36,2.36,1.56,-1.37,29.26
2014,369,53,43.4,45.7,-2.85,-6.2,1183,249,199,13.4,108,21,16.8,1.13,14,10.5,5.76,2.93,+0.21,31.95
2013,369,51,46.25,39.8,+7.35,+18.9,1161,228,178,8.28,100,19.7,15.3,0.71,13,10.6,5.56,2.72,+0.63,30.63
2012,369,47,38.9,35.8,+3.9,+11.1,1195,177,131,-10,77.3,14.8,10.9,-0.84,8.34,7.63,3.81,2.09,-0.24,27.03
2011,369,53,35,36.8,+2.2,+6.7,1185,206,162,3.53,86.2,17.4,13.6,0.3,11.6,10.8,5.24,2.33,-0.1,26.21
2010,369,51,32.8,30.4,-1.2,-3.5,1062,195,157,-7.03,80.3,18.4,14.7,-0.66,12.6,11.9,5.74,2.43,+0.17,25.71
2009,329,51,34,32.4,+7.05,+26.2,868,155,125,-2.98,74.2,17.9,14.4,-0.34,13.5,12.2,5.98,2.26,+0.51,24.03
2008,329,45,26.95,38.5,-18.05,-40.1,785,80.5,52.1,13.7,57.6,10.3,6.64,1.75,8.25,6.7,3.42,1.75,-0.8,21.88
2007,325,57,45,37.8,+15.55,+52.8,766,154,129,0.34,82.6,20.1,16.8,0.04,14.6,12.4,6.32,2.55,+0.35,25.5
2006,314,51,29.45,25.1,+6,+25.6,649,124,100,-7.39,68.8,19.2,15.4,-1.14,13.3,12,5.44,2.2,+0.23,21.34
2005,283,49,23.45,20,+2.55,+12.2,621,124,103,-12.3,57,19.9,16.6,-1.98,11.8,11.5,4.79,1.97,+0.38,18.94
2004,265,40,20.9,17.5,+4.2,+25.1,554,109,93.2,-13.2,44.2,19.7,16.8,-2.38,7.99,7.37,2.94,1.59,+0.99,18.63
2003,255,38,16.7,13.4,+6.25,+59.8,475,97.5,84,-50.3,17.6,20.5,17.7,-10.6,3.71,3.04,1.13,0.6,+0.58,18.04
2002,249,36,10.45,9.99,+1.9,+22.2,391,52.4,36.8,-37.9,2.87,13.4,9.42,-9.7,0.73,0.52,0.18,0.02,-0.03,18.09
2001,244,36,8.55,10.8,-6.75,-44.1,305,24.5,9.34,-6.86,1.91,8.04,3.06,-2.25,0.63,0.38,0.13,0.05,-0.41,16.93
2000,237,38,15.3,26.2,-17.1,-52.8,283,21.9,12.7,5.13,10.8,7.72,4.49,1.81,3.82,2.29,0.78,0.46,-0.74,16.82
1999,220,-,32.4,23.6,+4.6,+16.5,-,-,-,-,24.7,-,-,-,-,-,-,1.2,-0.4,18.28
1998,182,43,27.8,31.9,-10.9,-28.2,234,30.9,19.3,6.31,29,13.2,8.23,2.69,12.4,8.38,4.08,1.6,+0.42,18.79
1997,165,43,38.7,47.3,-21.3,-35.5,212,22,10.3,10.2,18.7,10.4,4.86,4.8,8.78,6.69,3.41,1.18,+0.02,20.07
1996,141,40,60,51.9,+23,+62.2,208,25,16,1.88,16.3,12,7.71,0.9,7.83,7.67,4,1.16,-0.6,14.74
1995,128,45,37,43.5,-15.5,-29.5,230,27.2,17.1,7.45,22.6,11.8,7.45,3.24,9.81,10.8,5.73,1.76,-0.32,15.6
1994,114,-,52.5,58.7,-21,-28.6,-,-,-,-,23.7,-,-,-,-,-,-,2.08,-1.61,16.72
1993,101,-,73.5,56.9,+23,+45.5,-,-,-,-,37.3,-,-,-,-,-,-,3.68,+0.43,19
1992,92,-,50.5,59.5,-18.5,-26.8,-,-,-,-,29.9,-,-,-,-,-,-,3.25,-0.32,19.29
1991,80,-,69,84.1,-8.5,-11,-,-,-,-,28.6,-,-,-,-,-,-,3.57,+0.44,20.42
1990,65.3,-,-,-,-,-,-,-,-,-,20.5,-,-,-,-,-,-,3.13,-,18.07
1989,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1988,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1987,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1985,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1984,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1983,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1982,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1981,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
