2017,19.3,53,13.6,11.4,+2.9,+27.1,25.1,12.9,-0.59,0.41,-0.58,51.2,-2.34,1.65,-1.45,-0.88,-0.76,-0.3,+0.19,14.82
2016,19.3,55,10.7,9.74,+1.38,+14.8,25,12.7,-0.22,0.2,-0.95,50.6,-0.88,0.8,-1.21,-0.71,-0.61,-0.49,+0.9,15.24
2015,19.3,53,9.32,10.9,-2.13,-18.6,22.3,10.1,-3.24,0.34,-2.71,45,-14.5,1.52,-12.8,-7.5,-6.68,-1.39,-0.64,15.63
2014,19.9,51,11.45,12.4,-1.6,-12.3,8.13,3.27,-1.95,0.45,-1.48,40.2,-24,5.57,-18.3,-4.32,-3.97,-0.75,+0.09,16.86
2013,20.7,51,13.05,13.3,-2.65,-16.9,10.6,4.01,-1.96,0.45,-1.71,37.8,-18.5,4.25,-16.1,-4.62,-4.28,-0.84,-0.85,17.55
2012,20.7,57,15.7,21.3,-8.1,-34,13.1,5.73,-0.21,0.49,0.02,43.8,-1.58,3.78,0.13,0.04,0.04,0.01,-2.72,18.77
2011,21.1,68,23.8,31.4,-16.5,-40.9,26.2,11.9,1.08,6.75,5.94,45.4,4.13,25.7,24.9,12.8,10.5,2.73,-1.79,20.79
2010,22.6,75,40.3,42,-3.65,-8.3,58.8,30.6,10.6,3.72,10,52.1,18,6.33,20.4,22.3,17.3,4.52,+0.85,21.75
2009,22.6,75,43.95,35.9,+20.85,+90.3,49.1,24.3,7.87,2.92,8.01,49.5,16,5.94,19.4,21.3,16.2,3.67,+0.27,19.41
2008,22.3,68,23.1,41.5,-49.6,-68.2,49.3,22.7,7.48,0.85,7.41,46,15.2,1.73,15,18.8,14.5,3.4,-1.37,18.18
2007,20.1,74,72.7,57.1,+32.75,+82,42.8,20,8.69,0.53,9.4,46.8,20.3,1.23,21.9,26.6,20.6,4.77,+1.72,19.27
2006,18.9,64,39.95,41.2,-5.05,-11.2,33.5,14.7,5.07,0.47,5.55,43.8,15.1,1.41,16.4,18.3,13.2,3.05,-0.23,17.34
2005,16.7,66,45,30.8,+15.7,+53.6,28.9,12.9,4.36,0.01,4.79,44.8,15.1,0.05,16.4,19.3,12.7,3.28,-0.47,17.46
2004,13.3,68,29.3,31.6,-4.8,-14.1,27,11.4,4.62,0.17,4.62,42.2,17.1,0.64,17.1,23.4,14.9,3.75,+0.71,16.94
2003,11.8,57,34.1,30.1,+11.7,+52.2,22.2,8.71,2.95,0.44,3.33,39.3,13.3,1.98,15,19,13,3.04,+0.96,15.78
2002,10.7,55,22.4,25.1,-12.7,-36.2,14.6,5.68,1.83,0.27,2.08,39,12.6,1.85,14.2,13,9.84,2.08,+0.92,15.32
2001,9.94,55,35.1,22.7,+21.7,+162,10.8,3.96,0.88,0.18,1.13,36.8,8.17,1.68,10.5,7.41,6.19,1.16,-0.63,15.76
2000,8.59,62,13.4,36.6,-19.6,-59.4,10.8,4.35,1.15,0.52,1.46,40.2,10.6,4.82,13.5,11.5,8.42,1.79,+0.01,17.16
1999,6.03,64,33,34.9,-10,-23.3,10.4,4.1,1.58,-0.2,1.07,39.4,15.2,-1.9,10.3,10.5,7.02,1.78,+0.11,17.77
1998,4.95,57,43,88.2,-59.5,-58,9.9,3.2,0.57,0.41,0.82,32.3,5.8,4.11,8.29,8.83,6.19,1.67,-1.86,19.64
1997,3.49,62,102.5,133,+42,+69.4,8.31,3.38,1.06,0.27,1.06,40.7,12.7,3.24,12.7,11.9,8.22,3.53,-0.83,25.37
1996,2.1,-,-,-,-,-,-,-,-,-,0.91,-,-,-,-,-,-,4.36,-1.88,16.84
1995,1.33,-,-,-,-,-,-,-,-,-,0.83,-,-,-,-,-,-,6.24,-1.54,17.94
1994,0.66,-,-,-,-,-,-,-,-,-,0.51,-,-,-,-,-,-,7.78,-,24.08
1993,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1992,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
