2017,89.4,21,12.7,12.6,+3.33,+35.5,142,40.7,-1.28,-3.4,-7.58,28.6,-0.9,-2.4,-4.99,-7.57,-0.95,-0.85,+4.71,9.63
2016,89.4,28,9.37,10,-2.43,-20.6,33.6,17.9,-49.6,1.24,-49.7,53.4,-148,3.68,-147,-41.4,-6.56,-5.56,-4.02,10.15
2015,89.4,26,11.8,13.7,-6.1,-34.1,35.9,16.1,-9.4,-2.97,-13.8,44.8,-26.2,-8.28,-38.1,-8.77,-1.88,-1.54,-1.06,15.7
2014,87.8,30,17.9,21.1,-6.05,-25.3,37.9,17.8,0.1,-2.36,-4.25,47,0.25,-6.23,-10.9,-2.38,-0.63,-0.48,-12.49,18.6
2013,84.8,66,23.95,25.7,-0.7,-2.8,304,126,108,-5.5,101,41.3,35.5,-1.81,33.4,53.8,13.9,12.01,+10.69,20.46
2012,81,45,24.65,21.3,+3.55,+16.8,71,33.8,15.9,-3.46,10.5,47.6,22.3,-4.87,14.7,5.58,1.47,1.32,-2.33,24.34
2011,69.4,51,21.1,32.2,-22.4,-51.5,125,50.9,29.4,-3.56,25.2,40.6,23.5,-2.84,20,14.9,4.97,3.65,-2.91,25.02
2010,65.1,60,43.5,33.2,+16.6,+61.7,140,63,38.8,2.78,41.8,45,27.8,1.99,29.7,29.3,10.7,6.56,+3.84,24.91
2009,61.5,53,26.9,21.4,+17.11,+175,60.7,26.3,14.7,-2.68,14.2,43.4,24.2,-4.42,23.2,13.6,4.8,2.72,+2.23,20.01
2008,50.8,43,9.79,26.8,-15.31,-61,24.8,8.93,3.04,0.55,2.48,36,12.2,2.2,10.8,3.18,1.25,0.49,-1.61,16.85
2007,44.8,60,25.1,38.3,-23.9,-48.8,37.7,20.3,13.9,-0.87,8.59,53.7,37,-2.31,23.9,13.6,6.51,2.1,+1.34,18.23
2006,34.6,47,49,26.7,+33.95,+226,17.9,7.36,4.29,-1.21,2.28,41.1,24,-6.77,13.1,5.98,2.45,0.76,+0.24,14.02
2005,26.5,38,15.05,18.1,-17.55,-53.8,21.2,6.6,3.36,-2.63,1.37,31.1,15.9,-12.4,6.42,4.75,1.4,0.52,-1.96,10.8
2004,24.4,45,32.6,30.2,+12.4,+61.4,34.5,11.2,7.57,-1.08,6.05,32.4,22,-3.13,17.5,25.3,7.57,2.48,+4.98,11.36
2003,20.6,30,20.2,9.38,+11.85,+142,-2.71,-1.81,-3.6,-1.09,-5.17,-,-,-,-,-23,-8.55,-2.5,-2.71,9.22
2002,17.2,40,9.7,10.1,+4.1,+73.2,12.7,3.58,1.78,-1.16,0.35,28.1,14,-9.1,2.78,1.4,0.51,0.21,-1.68,14.25
2001,17.2,51,5.6,6.15,-4.65,-45.4,13.9,5.66,4.25,-0.91,3.27,40.6,30.5,-6.56,23.4,13.4,4.58,1.89,-0.37,14.55
2000,13.8,53,10.25,11.2,-1.85,-15.3,13.4,6.33,4.31,-1.01,3.12,47.2,32.1,-7.5,23.2,14.1,5.41,2.26,-0.71,17.1
1999,12,62,-,-,-,-,12.5,5.72,4.25,-0.45,3.57,45.8,34,-3.58,28.5,17.3,7.09,2.97,+0.93,17.11
1998,12,-,-,-,-,-,-,-,-,-,2.22,-,-,-,-,-,-,2.04,-,14.41
1997,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
