2017,15,68,31.2,28.4,+5.55,+21.6,14,6.09,2.9,0.12,2.54,43.3,20.7,0.83,18.1,12.3,9.6,1.7,+0.33,14
2016,15,66,25.65,26.1,-0.5,-1.9,12.5,5.37,2.38,0.06,2.06,43.1,19.1,0.51,16.5,10.2,7.82,1.37,+0.14,13.51
2015,15,62,26.15,26.2,-1.8,-6.4,13.1,5.19,2.1,0.11,1.85,39.5,16,0.84,14.1,9.24,6.97,1.23,-0.08,13.37
2014,15,66,27.95,27.8,-3.65,-11.6,13.5,5.29,2.18,0.14,1.97,39.2,16.2,1.02,14.6,9.96,7.55,1.31,+0.02,13.28
2013,15,62,31.6,25.6,+7.8,+32.8,15.5,5.34,2.29,0.09,1.94,34.4,14.8,0.61,12.5,9.91,7.56,1.29,-0.15,13.05
2012,15,60,23.8,19.8,+6.65,+38.8,16.9,5.29,2.46,0.16,2.15,31.3,14.5,0.92,12.7,11.2,8.59,1.44,+0.32,13.01
2011,15,51,17.15,18.3,-3.05,-15.1,13.9,4.77,1.93,0.1,1.68,34.2,13.9,0.7,12.1,8.92,7.15,1.12,-0.01,12.59
2010,15,70,20.2,19.8,+0.2,+1,10.6,4.75,1.84,0.1,1.7,44.6,17.3,0.97,16,9.21,7.79,1.13,+0.44,12.48
2009,15,70,20,15.8,+8.1,+68.1,9.3,4.2,1.43,0.16,1.23,45.1,15.4,1.69,13.2,5.93,5.15,0.69,-0.23,12.12
2008,19.8,72,11.9,14.5,-3.3,-21.7,9.26,4.15,1.49,0.71,1.81,44.8,16,7.62,19.6,7.85,6.89,0.92,+0.13,11.75
2007,19.8,70,15.2,16.7,-0.15,-1,9.25,4.03,1.63,0.36,1.56,43.5,17.7,3.85,16.9,6.87,6.1,0.79,-0.11,11.58
2006,19.8,74,15.35,11.1,+4.4,+40.2,7.3,3.54,1.48,0.63,1.76,48.4,20.2,8.69,24.1,7.87,7.05,0.9,+0.33,11.62
2005,19.8,68,10.95,10.4,+0.55,+5.3,7.27,3.13,1.29,0.22,1.13,43,17.8,2.98,15.6,5.11,4.56,0.57,-0.13,11.22
2004,19.8,-,10.4,11.3,-2,-16.1,-,-,-,-,1.38,-,-,-,-,-,-,0.7,-0.28,11.28
2003,19.8,-,12.4,12.7,-0.55,-4.2,-,-,-,-,1.93,-,-,-,-,-,-,0.98,+0.11,11.46
2002,19.7,-,12.95,17.5,-5.65,-30.4,-,-,-,-,1.72,-,-,-,-,-,-,0.87,-0.26,11.33
2001,19.5,-,18.6,17.1,-6.4,-25.6,-,-,-,-,2.21,-,-,-,-,-,-,1.13,+0.8,11.45
2000,19,-,25,45.7,-135,-84.4,-,-,-,-,0.62,-,-,-,-,-,-,0.33,-0.83,10.84
1999,17.2,-,-,-,-,-,-,-,-,-,1.99,-,-,-,-,-,-,1.16,+0.22,11.66
1998,15.8,-,-,-,-,-,-,-,-,-,1.48,-,-,-,-,-,-,0.94,-0.14,11.38
1997,15,-,-,-,-,-,-,-,-,-,1.63,-,-,-,-,-,-,1.08,-,11.02
