經紀手續費收入,2.38,86.9,2.11,81.1,2.33,76,2.14,80.6,2.03,76.3,2.11,64.8,2.26,68.2
受託結算交割服務費收入,0.017,0.63,0.013,0.49,0.037,1.21,0.11,4.09,0.16,6.08,0.18,5.52,0.24,7.21
衍生性金融商品利益–期貨,0.18,6.6,0.28,10.8,0.56,18.3,0.24,8.88,0.26,9.85,0.65,20,0.49,14.9
期貨顧問費收入,0.008,0.29,0.001,0.05,0.002,0.06,0.001,0.05,0.001,0.04,0.013,0.4,0.002,0.05
其他營業收入,0.006,0.23,-0.001,-0.04,0.002,0.07,0.002,0.09,0.019,0.71,-0.003,-0.09,0.014,0.42
業外收入合計,0.15,5.36,0.2,7.59,0.13,4.4,0.17,6.34,0.19,6.97,0.3,9.38,0.3,9.18
營業收入,2.74,100,2.6,100,3.06,100,2.66,100,2.66,100,3.25,100,3.31,100
經紀經手費支出,0.35,12.8,0.32,12.4,0.37,12,0.35,13,0.38,14.3,0.38,11.7,0.39,11.9
自營經手費支出,0.013,0.47,0.013,0.5,0.01,0.33,0.006,0.22,0.007,0.27,0.009,0.27,0.009,0.26
期貨佣金支出,0.46,16.7,0.45,17.3,0.43,14,0.39,14.6,0.39,14.9,0.43,13.2,0.48,14.5
結算交割服務費支出,0.26,9.35,0.23,9,0.28,9.01,0.32,12,0.39,14.6,0.41,12.5,0.47,14.3
衍生性金融商品損失–期貨,0.089,3.26,0.21,8.03,0.53,17.5,0.23,8.56,0.29,10.9,0.58,17.9,0.5,15.1
營業成本,1.17,42.6,1.23,47.2,1.62,52.8,1.29,48.5,1.46,54.9,1.81,55.6,1.85,56
營業毛利,1.57,57.4,1.37,52.8,1.44,47.2,1.37,51.5,1.2,45.1,1.44,44.4,1.46,44
營業費用,0.93,33.9,0.83,31.9,0.9,29.2,0.84,31.7,0.8,30.1,0.86,26.6,0.87,26.3
營業利益,0.65,23.6,0.54,20.8,0.55,17.9,0.53,19.9,0.4,15.1,0.58,17.8,0.59,17.7
業外支出合計,0.031,1.12,-0.004,-0.16,0.014,0.47,0.009,0.34,0.009,0.36,0.011,0.33,0.007,0.21
稅前淨利,0.62,22.5,0.55,21,0.53,17.5,0.52,19.5,0.39,14.7,0.57,17.4,0.58,17.5
所得稅費用,0.08,2.92,0.088,3.39,0.16,5.08,0.12,4.59,0.12,4.48,0.16,5.02,0.11,3.46
繼續營業單位稅後損益,0.54,19.5,0.46,17.6,0.38,12.4,0.4,14.9,0.27,10.2,0.4,12.4,0.47,14.1
合併稅後淨利,0.54,19.5,0.46,17.6,0.38,12.4,0.4,14.9,1.86,69.8,-,-,-0.72,-21.6
歸屬於少數股權之淨利,0,0.01,-0.002,-0.06,-0.006,-0.2,-0.005,-0.19,-0.039,-1.45,0.019,0.6,-0.003,-0.1
稅後淨利,0.54,19.5,0.46,17.6,0.38,12.6,0.4,15.1,0.3,11.2,0.4,12.4,0.46,13.9
每股稅後盈餘(元),0.63,-,0.54,-,0.51,-,0.53,-,0.41,-,0.56,-,0.73,-
