經紀手續費收入,2.91,70.3,2.17,88.7,2.02,82.3,2.12,90.4,2.21,90.1,2.58,69.2,2.12,84.3
借券及附賣回債券融券回補利益,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.08
期貨佣金收入,0.23,5.5,0.17,6.76,0.16,6.51,0.23,9.95,0.19,7.79,0.22,6.01,0.21,8.41
證券佣金收入,0.007,0.18,0.008,0.34,0.007,0.28,0.006,0.26,0.004,0.18,0.005,0.14,0.007,0.28
受託結算交割服務費收入,0,0,0,0,0,0,0.038,1.63,0.032,1.3,0.031,0.83,0.026,1.02
衍生性金融商品利益–期貨,0.97,23.4,0.072,2.94,0.25,10,-0.069,-2.93,0.003,0.12,0.87,23.3,0.11,4.56
期貨管理費收入,0,0,0,0,0,0,0,0,0,0,0,0,0,0
經理費收入,0,0.01,0.001,0.04,0.001,0.03,0,0.02,0,0.02,0,0.01,0,0.02
顧問費收入,0.02,0.48,0.023,0.94,0.02,0.84,0.016,0.67,0.015,0.6,0.016,0.43,0.033,1.29
其他營業收入,0.005,0.12,0.006,0.25,0,0.02,0,-0.02,-0.002,-0.09,0.001,0.03,0.002,0.06
營業收入,4.14,100,2.44,100,2.45,100,2.34,100,2.45,100,3.72,100,2.52,100
經紀經手費支出,0.49,11.9,0.34,14,0.31,12.5,0.33,14.2,0.38,15.3,0.4,10.9,0.34,13.5
自營經手費支出,0.033,0.79,0.006,0.24,0.033,1.35,0.029,1.25,0.029,1.18,0.04,1.07,0.041,1.64
財務成本,0.016,0.38,0.007,0.31,0.003,0.11,0.008,0.34,0.003,0.13,0.009,0.24,0.005,0.19
期貨佣金支出,0.86,20.8,0.57,23.5,0.57,23.1,0.53,22.8,0.59,24,0.81,21.8,0.51,20.1
結算交割服務費支出,0.32,7.71,0.21,8.41,0.2,8.2,0.24,10.3,0.26,10.7,0.29,7.81,0.3,12
其他營業成本,-,-,-,-,-,-,-,-,-,-,0.003,0.07,-,-
營業成本,1.72,41.6,1.13,46.4,1.11,45.3,1.14,48.9,1.26,51.4,1.56,41.9,1.2,47.5
營業毛利,2.42,58.4,1.31,53.6,1.34,54.7,1.2,51.1,1.19,48.6,2.16,58.1,1.32,52.5
員工福利費用,0.69,16.7,0.58,23.8,0.57,23.3,0.62,26.5,0.55,22.3,0.6,16.1,0.53,20.9
折舊及攤銷費用,0.072,1.74,0.074,3.02,0.073,2.98,0.069,2.95,0.066,2.68,0.065,1.74,0.066,2.63
其他營業費用,0.62,14.9,0.47,19.1,0.52,21,0.49,20.9,0.51,20.6,0.5,13.3,0.51,20.3
營業費用,1.38,33.4,1.12,46,1.16,47.3,1.18,50.4,1.12,45.6,1.16,31.2,1.1,43.8
營業利益,1.03,25,0.19,7.63,0.18,7.39,0.016,0.69,0.074,3,1,26.9,0.22,8.68
其他利益及損失,0.34,8.3,0.16,6.46,0.3,12.2,0.79,33.9,0.71,29,-0.13,-3.59,0.32,12.8
業外損益合計,0.34,8.3,0.16,6.46,0.3,12.2,0.79,33.9,0.71,29,-0.13,-3.59,0.32,12.8
稅前淨利,1.38,33.3,0.34,14.1,0.48,19.6,0.81,34.6,0.79,32,0.87,23.3,0.54,21.5
所得稅費用,-0.16,-3.74,-0.07,-2.88,-0.072,-2.94,-0.11,-4.58,-0.091,-3.69,-0.12,-3.32,-0.1,-4.09
繼續營業單位稅後損益,1.22,29.5,0.27,11.2,0.41,16.7,0.7,30,0.69,28.3,0.74,20,0.44,17.4
合併稅後淨利,1.22,29.5,0.27,11.2,0.41,16.7,0.7,30,0.69,28.3,0.74,20,0.44,17.4
歸屬於少數股權之淨利,0.006,0.15,-0.008,-0.31,-,-,-,-,-,-,-,-,-,-
稅後淨利,1.22,29.4,0.28,11.5,0.41,16.7,0.7,30,0.69,28.3,0.74,20,0.44,17.4
每股稅後盈餘(元),1.01,-,0.27,-,0.41,-,0.7,-,0.69,-,0.81,-,0.48,-
